Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
jRdSPLWr,27/06/2024,05:30,WORLD - CLUB FRIENDLY,Spartak Moscow (Rus),Torpedo Moscow (Rus),1.63,4.25,4.94,1.62,2.32,1.65,2.18
ro9579dm,27/06/2024,06:30,INDIA - CALCUTTA PREMIER DIVISION,United SC,Diamond Harbour,2.77,3.25,2.25,1.82,1.82,1.63,2.22
CQ0M3ReC,27/06/2024,06:30,INDIA - CALCUTTA PREMIER DIVISION,Southern Samity,BSS Sporting,2.27,3.0,3.0,2.18,1.53,1.95,1.81
jBCD5mRa,27/06/2024,06:30,INDIA - CALCUTTA PREMIER DIVISION,Kidderpore,Measures Club,1.52,4.05,4.9,1.62,2.02,1.8,1.96
bsaU15QO,27/06/2024,06:30,INDIA - CALCUTTA PREMIER DIVISION,Kalighat,Suruchi Sangha,1.45,4.25,5.5,1.57,2.12,1.8,1.96
x8UvM8Bt,27/06/2024,06:30,INDIA - CALCUTTA PREMIER DIVISION,Army Red,Aryan,2.55,3.25,2.45,2.0,1.65,1.81,1.95
KM6ClBPb,27/06/2024,07:00,SOUTH KOREA - WK LEAGUE WOMEN,Changnyeong W,Boeun Sangmu W,2.87,3.2,2.22,1.93,1.7,1.8,1.9
lG5A6oKa,27/06/2024,08:00,WORLD - CLUB FRIENDLY,FC Copenhagen (Den),Silkeborg (Den),1.34,4.75,6.5,1.44,2.51,1.71,2.08
UyYGbpil,27/06/2024,09:00,WORLD - CLUB FRIENDLY WOMEN,AZ Alkmaar W (Ned),SGS Essen W (Ger),5.0,3.95,1.52,1.57,2.12,1.6,2.2
QNZ5yQ1t,27/06/2024,09:00,WORLD - CLUB FRIENDLY,Bielsko-Biala (Pol),Tychy (Pol),3.8,4.1,1.65,1.47,2.55,1.54,2.41
AwIc8Zmo,27/06/2024,10:00,AFRICA - COSAFA CUP,Comoros,Zimbabwe,3.15,3.15,2.2,2.25,1.5,1.98,1.65
nPj4xpfK,27/06/2024,10:00,EGYPT - PREMIER LEAGUE,El Gouna,Future FC,4.15,2.95,1.95,2.35,1.47,2.05,1.62
MZpWUnMS,27/06/2024,11:00,IRAQ - STARS LEAGUE,Al Karkh,Newroz,4.15,3.05,1.85,2.2,1.52,2.05,1.73
44LBra34,27/06/2024,12:00,UZBEKISTAN - SUPER LEAGUE,Pakhtakor,Bunyodkor,1.45,4.05,6.4,1.8,1.9,1.91,1.7
tjlkRcYT,27/06/2024,12:00,UZBEKISTAN - SUPER LEAGUE,Neftchi Fargona,Lok. Tashkent,1.53,3.65,6.0,1.95,1.75,1.93,1.7
SrtKTiD6,27/06/2024,12:00,LATVIA - VIRSLIGA,Grobina,BFC Daugavpils,3.35,3.25,1.98,1.7,1.91,1.65,2.18
69XzXNHs,27/06/2024,13:00,EGYPT - PREMIER LEAGUE,ZED,El Gaish,2.35,2.6,3.6,2.52,1.4,2.0,1.65
lMMxWxth,27/06/2024,13:00,AFRICA - COSAFA CUP,Zambia,Kenya,1.8,3.3,4.35,2.25,1.5,2.1,1.57
40o9y49Q,27/06/2024,13:00,EGYPT - PREMIER LEAGUE,El Ismaily,Al Masry,3.25,2.72,2.42,1.98,1.65,1.65,1.98
SCoSVS6M,27/06/2024,13:30,IRAQ - STARS LEAGUE,Al Shorta,Naft Al-Basra,1.26,4.7,9.75,1.65,1.98,2.35,1.56
bexbQ6Uq,27/06/2024,13:30,IRAQ - STARS LEAGUE,Al Minaa,Naft Missan,2.92,2.8,2.45,2.64,1.4,2.11,1.69
zHFB98jJ,27/06/2024,14:00,WORLD - CLUB FRIENDLY,ASC 09 Dortmund (Ger),Wiedenbruck (Ger),3.4,4.0,1.78,1.42,2.58,1.42,2.77
zmlJUkSh,27/06/2024,14:00,NORWAY - ELITESERIEN,Sandefjord,HamKam,1.95,3.75,3.5,1.67,2.15,1.62,2.2
6H9WNVEt,27/06/2024,14:00,SWEDEN - ALLSVENSKAN WOMEN,Pitea W,AIK W,1.57,3.85,4.7,1.75,1.9,1.73,2.0
OfJd2g5I,27/06/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Atletico-MG W,Gremio W,7.4,4.05,1.37,1.7,1.93,1.91,1.8
vVPyxciD,27/06/2024,15:00,BRAZIL - BRASILEIRO WOMEN,Internacional W,Ferroviaria W,2.35,2.85,3.0,2.02,1.62,1.85,1.85
lrMxsXGD,27/06/2024,15:00,WORLD - CLUB FRIENDLY,Cliftonville (Nir),TNS (Wal),5.1,4.25,1.47,1.46,2.46,1.55,2.38
