Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
zL5yYYSi,16/06/2024,00:00,ARGENTINA - COPA ARGENTINA,Rosario Central,Barracas Central,1.77,3.25,4.98,2.25,1.58,2.05,1.73
lMKTyYHi,16/06/2024,00:00,USA - USL CHAMPIONSHIP,Sacramento Republic,Oakland Roots,1.55,3.7,5.3,2.0,1.75,2.05,1.7
jF8dA0PL,16/06/2024,00:15,AUSTRALIA - NPL ACT,Yoogali,O'Connor Knights,18.5,9.0,1.08,1.26,3.15,2.02,1.62
lU8GlDkA,16/06/2024,01:00,AUSTRALIA - NPL TASMANIA,South Hobart,Launceston United,1.01,14.5,32.0,1.05,8.5,2.27,1.5
j9FZF3hh,16/06/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,Charlestown Azzurri,Cooks Hill United,1.44,5.0,4.75,1.33,3.25,1.5,2.25
dnGVGqwn,16/06/2024,01:30,AUSTRALIA - NPL NORTHERN NSW,Weston Workers,Lambton J.,3.8,5.0,1.53,1.3,3.4,1.4,2.5
rBjbzlIG,16/06/2024,01:45,AUSTRALIA - NPL QUEENSLAND,Brisbane Roar U23,Queensland Lions,10.75,6.6,1.18,1.23,3.35,1.62,2.02
4IC09KvS,16/06/2024,02:00,AUSTRALIA - NPL ACT,Canberra Croatia,Tuggeranong Utd,1.4,5.1,5.5,1.27,3.1,1.42,2.45
fkWYToep,16/06/2024,02:00,AUSTRALIA - NPL QUEENSLAND,Sunshine Coast Wanderers,Redlands,1.65,4.25,4.0,1.42,2.47,1.47,2.32
l8g6YRnT,16/06/2024,02:00,AUSTRALIA - NPL QUEENSLAND,Brisbane City,Moreton City Excelsior,2.95,4.05,1.98,1.3,2.95,1.31,2.87
IugJuuWn,16/06/2024,02:00,AUSTRALIA - NPL NSW,Rockdale Ilinden,Manly Utd,1.35,5.1,6.6,1.38,2.6,1.6,2.05
8vcnjQ8S,16/06/2024,02:00,JAPAN - J1 LEAGUE,Vissel Kobe,Kawasaki Frontale,1.85,3.6,4.1,1.8,2.05,1.7,2.05
jgiRwJ0a,16/06/2024,02:00,AUSTRALIA - NPL NSW,Central Coast Mariners U23,Sydney FC U23,2.15,4.1,2.62,1.3,2.95,1.3,2.92
4deVxwG5,16/06/2024,02:30,AUSTRALIA - NPL NSW,APIA Leichhardt,Marconi Stallions,1.6,4.35,4.25,1.39,2.57,1.47,2.35
U5uJePPF,16/06/2024,03:00,AUSTRALIA - NPL VICTORIA,Heidelberg Utd,South Melbourne,2.75,3.25,2.4,1.6,2.07,1.47,2.35
AmqEopHq,16/06/2024,03:30,JAPAN - J1 LEAGUE,Avispa Fukuoka,Sagan Tosu,2.0,3.3,3.8,2.1,1.7,1.91,1.91
pEsI2QSk,16/06/2024,03:45,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,St. George Willawong,Logan Lightning,1.93,4.05,3.1,1.4,2.52,1.42,2.47
jVE9oULS,16/06/2024,04:00,JAPAN - J2 LEAGUE,Iwaki,Kofu,2.15,3.5,3.1,1.8,2.0,1.67,2.1
8bcrnx2g,16/06/2024,04:00,PHILIPPINES - PFL,Don Bosco Garelli,Philippine Air Force,2.1,3.75,2.7,1.44,2.63,1.38,2.94
hvoQ04c2,16/06/2024,04:00,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Mitchelton,SWQ Thunder,7.5,6.1,1.26,1.17,4.15,1.44,2.4
MPBu4mHq,16/06/2024,04:30,TAIWAN - PREMIER LEAGUE,AC Taipei,Taiwan Shihu,2.2,3.35,2.82,1.7,1.93,1.59,2.29
tSRt2Rod,16/06/2024,04:30,TAIWAN - PREMIER LEAGUE,Taichung,Hang Yuen,1.4,4.35,5.9,1.57,2.12,1.85,1.91
8YJSPUw3,16/06/2024,04:30,TAIWAN - PREMIER LEAGUE,Taipei Vikings,Taipower,4.6,3.85,1.57,1.57,2.12,1.64,2.2
Sj6yslUq,16/06/2024,05:00,JAPAN - J2 LEAGUE,Mito,Blaublitz,2.5,3.0,2.9,2.6,1.48,2.1,1.67
dOsk2X74,16/06/2024,05:15,MONGOLIA - PREMIER LEAGUE,Falcons,Khangarid,1.7,4.1,3.65,1.36,2.78,1.39,2.89
z3AA8GG8,16/06/2024,05:15,AUSTRALIA - QUEENSLAND PREMIER LEAGUE,Broadbeach Utd.,Caboolture,1.65,4.55,3.75,1.25,3.25,1.31,2.87
zokfT1dr,16/06/2024,06:00,ESTONIA - MEISTRILIIGA,Levadia,Tammeka,1.19,5.7,11.0,1.53,2.2,2.21,1.63
0nFv5z2m,16/06/2024,06:00,SOUTH KOREA - K LEAGUE 1,Jeonbuk,Incheon,2.15,3.4,3.25,1.9,1.95,1.73,2.0
AFett8qj,16/06/2024,06:00,JAPAN - J2 LEAGUE,Vegalta Sendai,V-Varen Nagasaki,2.9,3.25,2.35,2.03,1.83,1.73,2.0
l6fpuSbd,16/06/2024,06:00,JAPAN - J2 LEAGUE,Ehime,Shimizu S-Pulse,5.75,4.2,1.5,1.6,2.3,1.73,2.0
6FxNqOod,16/06/2024,06:00,JAPAN - J1 LEAGUE,FC Tokyo,Iwata,1.95,3.4,3.8,1.88,1.98,1.75,2.0
b9P87Rw3,16/06/2024,06:00,JAPAN - J1 LEAGUE,Gamba Osaka,Kashiwa Reysol,2.35,3.25,3.0,2.1,1.7,1.91,1.91
hCYIp4Wk,16/06/2024,06:00,JAPAN - J1 LEAGUE,Kashima Antlers,Albirex Niigata,1.8,3.5,4.5,1.93,1.93,1.8,1.95
