Id,Date,Time,League,Home,Away,Odd_H,Odd_D,Odd_A,Odd_Over25,Odd_Under25,Odd_BTTS_Yes,Odd_BTTS_No
l8BerKdl,11/09/2024,04:00,FIJI - PREMIER LEAGUE,Lautoka,Ba,2.12,3.7,2.7,1.43,2.55,1.38,2.94
fLxdZGRF,11/09/2024,05:30,INDONESIA - LIGA 1,PSM Makassar,Persib Bandung,2.2,3.3,3.05,1.78,1.93,1.6,2.07
bgqmywc3,11/09/2024,05:30,INDONESIA - LIGA 1,Dewa United,PSIS Semarang,2.35,3.2,2.85,1.8,1.9,1.6,2.07
6ad1DZ4d,11/09/2024,05:30,INDONESIA - LIGA 1,Bali United,Arema FC,1.72,3.4,4.6,1.7,1.91,1.62,2.02
Mgw1CIDb,11/09/2024,06:00,ITALY - COPPA ITALIA PRIMAVERA,Salernitana U19,FeralpiSalo U19,1.85,3.55,3.45,1.5,2.35,1.49,2.54
Uid4nqU1,11/09/2024,06:00,ITALY - COPPA ITALIA PRIMAVERA,Brescia U19,Ternana U19,2.05,3.45,3.0,1.5,2.35,1.45,2.66
ANwqL8nD,11/09/2024,06:00,UKRAINE - PERSHA LIGA,FSC Mariupol,Viktoria,2.22,3.15,2.9,1.93,1.7,1.78,1.99
fV9jyIbs,11/09/2024,06:30,JAPAN - EMPERORS CUP,Sanfrecce Hiroshima,Gamba Osaka,1.7,3.7,4.75,1.88,1.98,1.8,1.95
buz7LMyo,11/09/2024,06:30,AUSTRALIA - AUSTRALIA CUP,Hume City,South Melbourne,2.5,3.3,2.55,2.05,1.75,1.83,1.83
0fyOXJaM,11/09/2024,08:00,TANZANIA - LIGI KUU BARA,Tabora United,Kagera Sugar,2.37,2.8,3.0,2.64,1.4,2.09,1.71
dUWBNyPn,11/09/2024,08:30,TURKEY - TURKISH CUP,Etimesgut,Kirsehir SK,1.73,3.5,4.1,2.0,1.8,1.91,1.8
0EmkgPNF,11/09/2024,08:30,UKRAINE - PERSHA LIGA,Prykarpattya,Nyva Ternopil,2.32,3.2,2.72,1.91,1.7,1.75,2.03
MTybi3hS,11/09/2024,09:15,UKRAINE - PERSHA LIGA,Ahrobiznes Volochysk,Podillya Khmelnytskyi,1.62,3.5,4.75,2.07,1.6,2.12,1.69
balxtvt7,11/09/2024,10:00,TURKEY - TURKISH CUP,Usakspor,1922 Konyaspor,1.62,3.4,5.0,2.3,1.6,2.25,1.57
fHpseog3,11/09/2024,10:00,UKRAINE - PERSHA LIGA,Minaj,Epitsentr,2.82,3.35,2.18,1.87,1.78,1.73,2.05
SElJYNU1,11/09/2024,11:00,ALBANIA - SUPERLIGA,Bylis,KF Tirana,2.69,3.18,2.38,2.0,1.74,1.76,2.01
dvEpZHFS,11/09/2024,11:00,BELARUS - PERSHAYA LIGA,BATE 2,Din. Minsk 2,2.45,3.5,2.6,1.57,2.25,1.5,2.4
CWRRI8t3,11/09/2024,11:30,CROATIA - CROATIAN CUP,Bednja Beletinec,Belisce,3.05,3.15,2.15,1.91,1.72,1.67,2.15
nFgCEkT7,11/09/2024,11:30,CROATIA - CROATIAN CUP,Croatia Dakovo,Gorica,16.5,7.4,1.09,1.28,3.2,2.16,1.66
4Sy96vit,11/09/2024,11:30,CROATIA - CROATIAN CUP,Dugopolje,Bijelo Brdo,1.95,3.3,3.65,1.9,1.82,1.7,1.93
YL8bHe5b,11/09/2024,11:30,CROATIA - CROATIAN CUP,Gaj Mace,Varazdin,16.0,7.3,1.1,1.34,2.88,2.0,1.77
6Z66FZZA,11/09/2024,11:30,CROATIA - CROATIAN CUP,Kustosija,Slaven Belupo,8.5,5.4,1.24,1.26,3.34,1.63,2.22
Y7TP2dj5,11/09/2024,11:30,CROATIA - CROATIAN CUP,Samobor,Lok. Zagreb,17.0,7.3,1.09,1.32,2.98,2.79,1.42
8jmKcW5M,11/09/2024,11:30,SLOVAKIA - SLOVAK CUP,Blava Jaslovske Bohunice,Trnava,26.0,11.25,1.02,1.06,7.5,2.1,1.7
Yiiql9oB,11/09/2024,12:00,CZECH REPUBLIC - MOL CUP,Police nad Metuji,Chlumec nad Cidlinou,4.0,4.0,1.62,1.33,3.4,1.36,3.0
jBpHtUki,11/09/2024,12:30,NORWAY - TOPPSERIEN WOMEN,Roa W,Valerenga W,12.0,5.3,1.19,1.57,2.12,2.25,1.57
pUFKRziU,11/09/2024,13:30,CZECH REPUBLIC - MOL CUP,Karlovy Vary,Chomutov,3.5,4.0,1.73,1.4,2.88,1.44,2.63
z7WBzp0k,11/09/2024,14:00,ALBANIA - SUPERLIGA,Skenderbeu,Teuta,2.12,3.2,3.05,2.07,1.6,1.87,1.89
U3WKU6eJ,11/09/2024,14:00,DENMARK - LANDSPOKAL CUP,B 1908,B.93,34.0,12.0,1.06,1.25,4.0,2.75,1.34
GzVDf5iL,11/09/2024,14:00,ALBANIA - SUPERLIGA,Vllaznia,Egnatia,2.72,3.1,2.4,2.07,1.6,1.83,1.93
KGLKgaZH,11/09/2024,14:45,BRAZIL - COPA RIO,Olaria,Cabofriense,2.12,3.2,3.25,2.2,1.53,1.98,1.65
Odh3abtK,11/09/2024,14:45,BRAZIL - COPA RIO,Bonsucesso,Zinza,2.42,3.3,2.67,2.02,1.62,1.83,1.78
M5RMDcln,11/09/2024,15:00,EUROPE - PREMIER LEAGUE INTERNATIONAL CUP,Sunderland U21,Ath Bilbao B,2.4,3.7,2.5,1.57,2.12,1.52,2.22
jVhRWL8M,11/09/2024,15:00,SPAIN - LIGA F WOMEN,Atl. Madrid W,Granada CF W,1.17,5.7,12.5,1.57,2.12,2.4,1.5
Mm6z46Jl,11/09/2024,15:15,BOSNIA AND HERZEGOVINA - WWIN LIGA BIH,Zrinjski,Sloga Doboj,1.36,4.15,9.0,1.95,1.75,2.25,1.5
8AggjAxj,11/09/2024,15:45,IRELAND - NATIONAL LEAGUE WOMEN,Sligo Rovers W,Shelbourne W,28.0,7.8,1.06,1.93,1.7,3.3,1.29
KrbW17y2,11/09/2024,16:00,IRELAND - NATIONAL LEAGUE WOMEN,Cork City W,Galway United W,7.4,4.8,1.31,1.53,2.18,1.75,1.95
pKpxJoT0,11/09/2024,18:00,GUATEMALA - LIGA NACIONAL,Deportivo Mixco,Xelaju,2.37,2.42,3.9,2.92,1.3,2.22,1.52
CpXndsV7,11/09/2024,18:30,PARAGUAY - PRIMERA DIVISION,Sol de America,Libertad Asuncion,5.0,3.75,1.57,1.98,1.83,2.0,1.73
Y5WXLhIP,11/09/2024,19:00,COSTA RICA - PRIMERA DIVISION,Guanacasteca,Santa Ana,2.0,3.4,3.1,1.53,2.4,1.44,2.63
6Hidn9IU,11/09/2024,19:30,BRAZIL - SERIE A,Internacional,Fortaleza,2.2,3.25,3.4,2.35,1.57,2.0,1.75
WEyjadR8,11/09/2024,20:00,COLOMBIA - COPA COLOMBIA,Ind. Medellin,Junior,1.95,3.3,4.0,2.4,1.53,2.1,1.67
4n6GYyuo,11/09/2024,20:00,COLOMBIA - PRIMERA A,America De Cali,Deportes Tolima,2.35,3.2,3.1,2.3,1.6,1.91,1.8
h6eHtWM2,11/09/2024,21:00,USA - USL CHAMPIONSHIP,Birmingham,Tampa Bay,2.75,3.4,2.27,1.65,2.15,1.55,2.32
QJgPvAiF,11/09/2024,21:00,USA - USL CHAMPIONSHIP,Memphis,Hartford Athletic,1.44,4.3,5.9,1.57,2.27,1.72,2.0
QPEZJpNE,11/09/2024,21:00,PARAGUAY - PRIMERA DIVISION,Cerro Porteno,Sportivo Trinidense,1.45,3.9,6.5,2.05,1.75,2.2,1.62
OjoOFQgn,11/09/2024,21:00,BRAZIL - COPA DO BRASIL,Corinthians,Juventude,1.5,3.9,6.5,2.15,1.67,2.2,1.62
WdfLujx9,11/09/2024,21:30,USA - USL CHAMPIONSHIP,FC Tulsa,Las Vegas Lights,2.72,3.3,2.32,1.75,2.02,1.6,2.22
CCH5cqvI,11/09/2024,21:30,BRAZIL - COPA DO BRASIL,Athletico-PR,Vasco,1.7,3.7,5.0,2.03,1.83,1.91,1.91
Yquce7qP,11/09/2024,21:30,BRAZIL - SERIE B,CRB,Sport Recife,2.7,3.1,2.6,2.5,1.5,2.2,1.62
bmGCEAAa,11/09/2024,22:00,COSTA RICA - PRIMERA DIVISION,Puntarenas FC,Alajuelense,5.75,3.8,1.5,1.93,1.88,2.0,1.73
69kfr2dC,11/09/2024,22:00,GUATEMALA - LIGA NACIONAL,Comunicaciones,Deportivo Achuapa,1.52,3.75,6.1,1.98,1.75,2.0,1.65
Mw5bNanQ,11/09/2024,22:00,EL SALVADOR - PRIMERA DIVISION,Aguila,Alianza FC,2.8,3.1,2.42,2.1,1.57,1.83,1.78
IimwVVft,11/09/2024,23:00,COSTA RICA - PRIMERA DIVISION,Saprissa,Zeledon,1.2,5.5,13.0,1.57,2.35,2.2,1.62
