home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Athletico-PR,Atlético-MG,Brasil - Brasileirão Série A,"Ter, 23 Julho 2024",19:00,54%,47%,D D V D V,D D E E V,D V V D E,V E V D D,V V D E E,E D V D V,1.47,1.75,1.22,1.47,1.44,1.5,41%,50%,33%,2.18,2.63,1.78,1.18,1.63,0.78,1,1,1,47%,63%,33%,29%,38%,22%,24%,0%,44%,41%,50%,33%,1.54,1.75,1.35,1.26,1.07,1.44,35%,33%,38%,2.94,2.89,3,1.47,1.44,1.5,1.47,1.5,1.5,65%,67%,63%,24%,22%,25%,18%,11%,25%,47%,56%,38%,1.43,1.45,1.41,1.25,1.24,1.26
Internacional,Fortaleza,Brasil - Brasileirão Série A,"Ter, 23 Julho 2024",19:00,54%,47%,D D E E D,D D V E E,D E E V D,V V V V D,V V V V V,V D E D D,1.36,1.33,1.38,1.88,2.4,1.14,36%,33%,38%,1.71,2,1.5,0.86,1,0.75,0.86,1,0.75,50%,67%,38%,36%,33%,38%,21%,17%,25%,43%,17%,63%,1.33,1.62,1.12,1.15,1.08,1.2,53%,70%,29%,2.29,2.3,2.29,1.29,1.7,0.71,1,1.57,1.57,53%,60%,43%,29%,40%,14%,24%,0%,57%,76%,100%,43%,1.24,1.39,1.02,1.59,1.3,2.02
Vasco,Cuiabá,Brasil - Brasileirão Série A,"Ter, 23 Julho 2024",19:00,54%,47%,D V V V V,V V E V E,D V V D D,D V E D E,D D E E V,V E E V D,1.28,1.89,0.67,1,0.67,1.38,39%,56%,22%,2.67,3.11,2.22,1.11,1.56,0.67,1.56,1.56,1.56,50%,56%,44%,22%,33%,11%,33%,22%,44%,39%,56%,22%,1.29,1.42,1.17,1.66,1.49,1.83,24%,11%,38%,2.35,1.89,2.88,1.06,0.78,1.38,1.29,1.5,1.5,41%,22%,63%,24%,33%,13%,47%,67%,25%,41%,22%,63%,1.2,1.23,1.17,1.6,1.32,1.93
Criciúma,RB,Brasil - Brasileirão Série A,"Ter, 23 Julho 2024",19:00,54%,47%,D D E D V,E V E V E,D D D D V,V D D V E,V V V V D,D D E D D,1.06,1.25,0.88,1.47,2.38,0.67,25%,25%,25%,3.06,3,3.13,1.44,1.38,1.5,1.63,1.63,1.63,88%,88%,88%,13%,13%,13%,0%,0%,0%,56%,63%,50%,1.4,1.5,1.3,1.65,1.73,1.58,41%,75%,11%,2.47,2.5,2.44,1.29,1.63,1,1.18,1.44,1.44,71%,75%,67%,18%,25%,11%,12%,0%,22%,53%,88%,22%,1.4,1.37,1.44,1.49,1.55,1.45
Bodo/Glimt,Rīgas,Europa -  dos Campeões,"Ter, 23 Julho 2024",12:00,39%,54%,,,,V V,V,V,0,0,0,3,3,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,100%,3.5,3,4,3.5,3,4,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.76,2.22,1.3,0.94,0.84,1.03
Panevėžys,Jagiellonia,Europa -  dos Campeões,"Ter, 23 Julho 2024",12:30,39%,54%,E V,V,E,,,,2,3,1,0,0,0,50%,100%,0%,2.5,3,2,2,3,1,0.5,0,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.22,1.56,0.87,1.78,2.25,1.3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Lincoln,Qarabağ,Europa -  dos Campeões,"Ter, 23 Julho 2024",13:00,39%,54%,D V,D,V,,,,1.5,0,3,0,0,0,50%,0%,100%,1,1,1,0.5,0,1,0.5,1,0,0%,0%,0%,50%,0%,100%,50%,100%,0%,50%,0%,100%,1.26,1.51,1,1.93,2.3,1.56,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Malmö,KÍ,Europa -  dos Campeões,"Ter, 23 Julho 2024",14:00,39%,54%,,,,E V,V,E,0,0,0,2,3,1,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,100%,0%,1,2,0,1,2,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,1.01,1.21,0.8,2.41,2.57,2.24
APOEL,Petrocub,Europa -  dos Campeões,"Ter, 23 Julho 2024",14:00,39%,54%,,,,V E,V,E,0,0,0,2,3,1,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,100%,0%,0.5,1,0,0.5,1,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,1.21,1.13,1.29,1.48,1.79,1.18
FCSB,Maccabi,Europa -  dos Campeões,"Ter, 23 Julho 2024",14:30,39%,54%,V V,V,V,,,,3,3,3,0,0,0,100%,100%,100%,6,4,8,5.5,4,7,0.5,0,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,2.37,2.48,2.25,0.63,0.45,0.8,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
