home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Atlanta,CA,Argentina - 2ª Divisão da Argentina,"Seg, 22 Julho 2024",17:10,33%,28%,D E E V D,E V E V V,D E D D V,V D V E E,V V V V E,D E E E D,1.35,1.55,1.17,1.3,2,0.55,35%,36%,33%,1.91,1.55,2.25,0.87,0.91,0.83,1.04,0.64,1.42,35%,27%,42%,39%,55%,25%,39%,36%,42%,35%,45%,25%,1.48,1.51,1.45,1.32,1.23,1.4,30%,58%,0%,1.09,1.33,0.82,0.57,1,0.09,0.52,0.73,0.73,9%,8%,9%,61%,75%,45%,61%,33%,91%,35%,58%,9%,1.34,1.5,1.16,1.37,1.17,1.6
Quilmes,San,Argentina - 2ª Divisão da Argentina,"Seg, 22 Julho 2024",20:10,33%,28%,V V D D D,V D V E E,V D D D E,V D V D E,V V V V E,D D E V E,1.61,2,1.25,1.83,2.25,1.36,43%,55%,33%,1.87,1.82,1.92,1.13,1.09,1.17,0.74,0.73,0.75,35%,36%,33%,43%,64%,25%,35%,18%,50%,52%,55%,50%,1.25,1.56,0.96,1.13,1.05,1.19,52%,67%,36%,1.43,1.42,1.45,0.96,1.17,0.73,0.48,0.73,0.73,17%,17%,18%,70%,83%,55%,39%,25%,55%,52%,67%,36%,1.38,1.47,1.29,1.21,0.91,1.54
Villa,UAI,Argentina - Prim B Metro,"Seg, 22 Julho 2024",15:00,43%,35%,D D D E D,D E E E V,D D D V E,D V V V E,V V E E E,D V E D D,0.81,1,0.62,1.08,1.46,0.69,12%,15%,8%,1.38,1.54,1.23,0.46,0.62,0.31,0.92,0.92,0.92,27%,38%,15%,35%,38%,31%,62%,46%,77%,19%,23%,15%,1.14,1.28,1,1.31,1.16,1.45,23%,31%,15%,2.31,1.85,2.77,0.96,1,0.92,1.35,1.85,1.85,58%,54%,62%,19%,31%,8%,31%,31%,31%,35%,31%,38%,1.17,1.16,1.18,1.38,1.29,1.48
Fénix,Argentino,Argentina - Prim B Metro,"Seg, 22 Julho 2024",15:00,43%,35%,V E E V D,V E D V E,E V V V E,D E E E E,D E E V V,E E V E D,1.46,1.23,1.69,1.73,1.85,1.62,31%,23%,38%,1.77,1.62,1.92,1,0.77,1.23,0.77,0.85,0.69,46%,46%,46%,42%,38%,46%,31%,38%,23%,46%,31%,62%,1.28,1.28,1.28,1.43,1.38,1.49,42%,46%,38%,1.73,1.77,1.69,1.15,1.23,1.08,0.58,0.62,0.62,42%,46%,38%,50%,46%,54%,27%,23%,31%,54%,69%,38%,1.4,1.63,1.18,1.22,1.05,1.4
Sacachispas,Villa,Argentina - Prim B Metro,"Seg, 22 Julho 2024",15:00,43%,35%,E D D E V,D E D D V,E D V D D,E V E D D,E E D E E,V D D E D,1,1.38,0.62,0.88,1.38,0.38,27%,38%,15%,2.31,2.54,2.08,0.69,1.08,0.31,1.62,1.46,1.77,31%,46%,15%,27%,31%,23%,50%,23%,77%,35%,46%,23%,1.07,1.2,0.95,1.42,1.36,1.48,19%,31%,8%,2.23,2.54,1.92,0.96,1.46,0.46,1.27,1.46,1.46,42%,46%,38%,19%,31%,8%,50%,38%,62%,38%,46%,31%,1.3,1.49,1.12,1.43,1.33,1.52
Excursionistas,Flandria,Argentina - Prim B Metro,"Seg, 22 Julho 2024",15:00,43%,35%,E E E E V,E E D E V,E E V D E,E V D D D,E D D V D,V D E V V,1.54,1.62,1.46,1.42,1.38,1.46,38%,38%,38%,2.5,2.38,2.62,1.46,1.38,1.54,1.04,1,1.08,62%,69%,54%,31%,31%,31%,19%,15%,23%,50%,69%,31%,1.41,1.57,1.27,1.18,1.04,1.3,38%,38%,38%,1.77,1.69,1.85,0.88,0.85,0.92,0.88,0.92,0.92,31%,23%,38%,46%,54%,38%,38%,46%,31%,54%,54%,54%,1.24,1.3,1.19,1.23,1.12,1.34
Santos,Coritiba,Brasil - Brasileirão Série B,"Seg, 22 Julho 2024",20:00,44%,33%,E V V V E,V V V D V,E V E D D,D D E E D,D E E V V,D D E D E,1.81,2.57,1.22,1.25,1.89,0.43,56%,86%,33%,2.25,2.71,1.89,1.5,2.29,0.89,0.75,0.43,1,38%,29%,44%,50%,71%,33%,19%,0%,33%,63%,86%,44%,1.58,1.96,1.27,1.24,1.04,1.39,31%,56%,0%,1.75,2,1.43,0.94,1.33,0.43,0.81,1,1,38%,33%,43%,31%,44%,14%,38%,22%,57%,44%,56%,29%,1.6,1.74,1.4,1.36,1.19,1.62
Remo,CSA,Brasil - Brasileirão Série C,"Seg, 22 Julho 2024",20:00,49%,45%,D V V D V,V V D E V,D V D V D,D V V V E,D V E E E,V V D D E,1.23,1.67,0.86,1.08,1,1.17,38%,50%,29%,2.69,1.5,3.71,1.15,0.83,1.43,1.54,0.67,2.29,62%,33%,86%,23%,50%,0%,23%,33%,14%,46%,50%,43%,1.45,1.81,1.15,1.67,1.28,2.01,23%,14%,33%,2.62,2.57,2.67,1.08,1,1.17,1.54,1.5,1.5,62%,71%,50%,23%,14%,33%,23%,29%,17%,54%,57%,50%,1.38,1.53,1.22,1.37,1.13,1.65
Floresta,Sampaio,Brasil - Brasileirão Série C,"Seg, 22 Julho 2024",20:00,49%,45%,V E V D V,V V D D D,V E D V D,V D E V E,V D V V D,E E D E D,1,1,1,1,1.43,0.5,31%,33%,29%,2.23,2.83,1.71,0.77,1,0.57,1.46,1.83,1.14,46%,67%,29%,23%,17%,29%,38%,17%,57%,31%,33%,29%,1.47,1.58,1.37,1.41,1.16,1.63,23%,43%,0%,2,2.43,1.5,0.85,1.29,0.33,1.15,1.17,1.17,38%,57%,17%,23%,14%,33%,54%,29%,83%,15%,29%,0%,1.69,2.13,1.17,1.72,1.71,1.74
Confiança,Ferroviário,Brasil - Brasileirão Série C,"Seg, 22 Julho 2024",20:00,49%,45%,E V D D D,V D V E D,E D D D D,D D D E V,D E V V D,D D D D V,1,1.33,0.67,0.85,1.33,0.43,25%,33%,17%,2.25,1.83,2.67,1,1,1,1.25,0.83,1.67,42%,33%,50%,17%,33%,0%,50%,50%,50%,33%,33%,33%,1.4,1.48,1.33,1.5,1.62,1.38,23%,33%,14%,2.85,2.67,3,0.85,1,0.71,2,2.29,2.29,46%,33%,57%,15%,33%,0%,46%,50%,43%,38%,50%,29%,1.14,1.42,0.9,1.64,1.43,1.82
