home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Colônia,Hamburgo,Alemanha - 2ª Divisão da Alemanha,"Sex, 02 Agosto 2024",15:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
1860 München,Saarbrucken,Alemanha - 3ª Divisão da Alemanha,"Sex, 02 Agosto 2024",14:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Newell's Old Boys,Estudiantes,Argentina - Campeonato Argentino,"Sex, 02 Agosto 2024",20:00,43%,32%,E E V D D,E D V V D,E V D D D,V E E D E,V E E V E,E D D V V,1.38,1.75,1,1.5,2,1,38%,50%,25%,1.38,1.25,1.5,0.63,0.75,0.5,0.75,0.5,1,13%,0%,25%,50%,75%,25%,50%,50%,50%,50%,50%,50%,1.44,1.63,1.25,1.27,1.2,1.35,38%,50%,25%,1.88,2.25,1.5,1.13,1.75,0.5,0.75,1,1,38%,50%,25%,50%,50%,50%,38%,25%,50%,38%,50%,25%,1.74,2.17,1.3,1.27,1.07,1.48
Centro Español,Claypole,Argentina - Primera C,"Sex, 02 Agosto 2024",15:00,44%,39%,V V D E V,V E V E V,V D D D D,D E E V V,D E V D V,E V D V V,1.32,1.93,0.71,1.48,1.71,1.23,39%,57%,21%,2.39,2.29,2.5,1.25,1.5,1,1.14,0.79,1.5,50%,43%,57%,25%,50%,0%,32%,21%,43%,50%,57%,43%,1.18,1.29,1.08,1.24,1.23,1.25,41%,50%,31%,2.26,2.36,2.15,1.15,1.36,0.92,1.11,1.23,1.23,48%,43%,54%,37%,36%,38%,33%,36%,31%,37%,36%,38%,1.46,1.57,1.34,1.21,1.13,1.3
BKMA,Shirak,Armênia - Campeonato da Armênia,"Sex, 02 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Modbury Jets,Adelaide Raiders,Austrália - South Australia NPL,"Sex, 02 Agosto 2024",07:00,64%,70%,D V V E V,V E E E D,D V V V D,D E D E D,D E D E E,E D D D D,1.8,1.8,1.8,1.15,1.3,1,50%,50%,50%,3.5,3.9,3.1,2.25,2.3,2.2,1.25,1.6,0.9,60%,70%,50%,30%,20%,40%,15%,10%,20%,60%,70%,50%,1.73,1.77,1.69,1.63,1.61,1.66,30%,30%,30%,3.2,2.6,3.8,1.55,1.4,1.7,1.65,2.1,2.1,65%,50%,80%,20%,30%,10%,25%,40%,10%,40%,40%,40%,1.69,1.67,1.72,1.95,1.76,2.13
Grazer AK,Salzburg,Áustria - Campeonato Austríaco,"Sex, 02 Agosto 2024",15:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Admira,Kapfenberger SV,Áustria - 2ª Divisão da Áustria,"Sex, 02 Agosto 2024",13:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Voitsberg,Amstetten,Áustria - 2ª Divisão da Áustria,"Sex, 02 Agosto 2024",13:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Horn,Rapid Wien II,Áustria - 2ª Divisão da Áustria,"Sex, 02 Agosto 2024",13:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
