home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Ružomberok,Hajduk Split,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:30,42%,52%,,,,E V,V,E,0,0,0,2,3,1,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,100%,0%,1,2,0,1,2,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,1.65,1.92,1.37,1.03,0.38,1.68
Omonia Nicosia,Videoton,Europa -  de Conferência,"Qui, 08 Agosto 2024",14:00,42%,52%,V V,V,V,E V,E,V,3,3,3,2,1,3,100%,100%,100%,3.5,4,3,2.5,3,2,1,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,1.88,1.83,1.93,1.06,0.72,1.4,50%,0%,100%,1.5,0,3,1,0,2,0.5,1,1,50%,0%,100%,50%,100%,0%,50%,100%,0%,0%,0%,0%,1.9,1.47,2.32,1,0.92,1.08
Olimpija,Sheriff,Europa -  de Conferência,"Qui, 08 Agosto 2024",14:00,42%,52%,V V,V,V,,,,3,3,3,0,0,0,100%,100%,100%,2.5,2,3,2,2,2,0.5,0,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.49,1.62,1.34,1.44,1.1,1.79,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Zürich,Vitória Guimarães,Europa -  de Conferência,"Qui, 08 Agosto 2024",14:00,42%,52%,E V,V,E,V V,V,V,2,3,1,3,3,3,50%,100%,0%,1.5,3,0,1.5,3,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,2.47,2.85,2.09,0.75,0.46,1.04,100%,100%,100%,2.5,4,1,2.5,4,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,2.58,3.07,2.09,0.44,0.15,0.73
Brøndby,Legia Warszawa,Europa -  de Conferência,"Qui, 08 Agosto 2024",14:00,42%,52%,E V,V,E,V V,V,V,2,3,1,3,3,3,50%,100%,0%,5,6,4,4,6,2,1,0,2,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,2.06,2.18,1.94,0.99,0.26,1.71,100%,100%,100%,5.5,6,5,5.5,6,5,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,1.99,2.24,1.73,0.57,0.65,0.49
CSKA 1948 Sofia,Paphos,Europa -  de Conferência,"Qui, 08 Agosto 2024",14:30,42%,52%,E V,V,E,V D,V,D,2,3,1,1.5,3,0,50%,100%,0%,1.5,1,2,1,1,1,0.5,0,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.48,1.57,1.39,1.23,0.85,1.6,50%,100%,0%,3,3,3,2,3,1,1,2,2,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,3,3.92,2.07,1.28,1.36,1.19
Osijek,Zira,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,3.5,6,1,3,5,1,0.5,1,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,1.79,2.03,1.55,1.67,1.93,1.41,100%,100%,100%,3.5,4,3,3,4,2,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.3,1.39,1.21,1.32,1.06,1.58
Corvinul Hunedoara,Astana,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,,,,V E,V,E,0,0,0,2,3,1,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,100%,0%,1.5,1,2,1,1,1,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,0.8,1.01,0.58,0.84,0.85,0.82
Kilmarnock,Tromsø,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,,,,V V,V,V,0,0,0,3,3,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,100%,1,1,1,1,1,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,0.71,0.3,1.11,0.83,0.02,1.64
Maccabi Petah Tikva,CFR Cluj,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,,,,V E,E,V,0,0,0,2,1,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,0%,100%,2.5,0,5,2.5,0,5,0,0,0,0%,0%,0%,100%,100%,100%,50%,100%,0%,50%,0%,100%,1.37,1.46,1.27,0.94,0.81,1.06
Botev Plovdiv,Zrinjski,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,,,,V D,D,V,0,0,0,1.5,0,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,0%,100%,2.5,1,4,1.5,0,3,1,1,1,50%,0%,100%,0%,0%,0%,50%,100%,0%,50%,0%,100%,1.22,1.43,1,0.89,0.73,1.04
Ballkani,Larne,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:00,42%,52%,V E,E,V,,,,2,1,3,0,0,0,50%,0%,100%,1,0,2,1,0,2,0,0,0,0%,0%,0%,100%,100%,100%,50%,100%,0%,50%,0%,100%,1.9,2.25,1.55,0.52,0.52,0.51,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Maribor,Vojvodina,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:15,42%,52%,D V,V,D,,,,1.5,3,0,0,0,0,50%,100%,0%,3.5,2,5,2,2,2,1.5,0,3,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,2.04,2.5,1.57,1.68,0.75,2.61,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Víkingur Reykjavík,Tallinna FC Flora,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:15,42%,52%,V D,D,V,V E,V,E,1.5,0,3,2,3,1,50%,0%,100%,1.5,1,2,1,0,2,0.5,1,0,0%,0%,0%,50%,0%,100%,50%,100%,0%,50%,0%,100%,1.47,1.63,1.29,1.07,1.03,1.12,50%,100%,0%,3.5,7,0,2.5,5,0,1,0,0,50%,100%,0%,50%,0%,100%,50%,0%,100%,50%,100%,0%,2.58,2.88,2.29,1.39,1.83,0.93
Spartak Trnava,Wisła Kraków,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:30,42%,52%,V E,V,E,,,,2,3,1,0,0,0,50%,100%,0%,1.5,3,0,1.5,3,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,0.9,1.24,0.56,1.23,1.15,1.3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
St. Mirren,Brann,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:45,42%,52%,V E,V,E,V E,V,E,2,3,1,2,3,1,50%,100%,0%,2.5,5,0,2,4,0,0.5,1,0,50%,100%,0%,50%,0%,100%,50%,0%,100%,50%,100%,0%,2.02,2.04,1.99,1.58,1.13,2.03,50%,100%,0%,1.5,3,0,1,2,0,0.5,0,0,50%,100%,0%,50%,0%,100%,50%,0%,100%,0%,0%,0%,1.31,1.26,1.34,1.31,1.27,1.35
St Patrick's Athl.,Sabah,Europa -  de Conferência,"Qui, 08 Agosto 2024",15:45,42%,52%,E V,V,E,D V,D,V,2,3,1,1.5,0,3,50%,100%,0%,4,4,4,2.5,3,2,1.5,1,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.38,1.75,1.02,1.59,1.62,1.54,50%,0%,100%,6,9,3,3,3,3,3,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,1.86,1.94,1.77,3.52,5.62,1.41
Egito Sub-23,Marrocos Sub-23,Internacional - Olimpíadas,"Qui, 08 Agosto 2024",12:00,50%,63%,D E V V E,E E,D V V,D V V D V,D V V,D V,1.6,1,2,1.8,2,1.5,40%,0%,67%,2,1,2.67,1,0.5,1.33,1,0.5,1.33,60%,50%,67%,40%,50%,33%,20%,50%,0%,60%,0%,100%,1.49,1.5,1.48,1.89,1.46,2.18,60%,67%,50%,3.2,3.33,3,2.2,2.67,1.5,1,1.5,1.5,60%,33%,100%,40%,67%,0%,0%,0%,0%,80%,100%,50%,1.45,1.55,1.31,1.16,0.95,1.48
