home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
KÍ,Borac Banja Luka,Europa -  Europa,"Qui, 08 Agosto 2024",14:00,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Molde,Cercle Brugge,Europa -  Europa,"Qui, 08 Agosto 2024",14:00,44%,53%,D V,V,D,V E,V,E,1.5,3,0,2,3,1,50%,100%,0%,4.5,4,5,2.5,3,2,2,1,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.75,1.73,1.76,1.55,1.46,1.63,50%,100%,0%,1.5,1,2,1,1,1,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.75,2.01,1.49,1.01,0.8,1.21
Trabzonspor,Rapid Viena,Europa -  Europa,"Qui, 08 Agosto 2024",14:00,44%,53%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,1.5,1,2,1.5,1,2,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,2.16,2.4,1.92,1.9,1.35,2.45,100%,100%,100%,5,7,3,4,6,2,1,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,2.51,3.27,1.74,1.78,1.43,2.13
UE Santa Coloma,Rīgas FS,Europa -  Europa,"Qui, 08 Agosto 2024",15:00,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Panathinaikos,Ajax,Europa -  Europa,"Qui, 08 Agosto 2024",15:00,44%,53%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,3.5,3,4,3,2,4,0.5,1,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,2.17,2.31,2.02,1.42,1.35,1.48,100%,100%,100%,2.5,1,4,2,1,3,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,2.48,2.42,2.53,1.05,1.26,0.84
Partizan,Lugano,Europa -  Europa,"Qui, 08 Agosto 2024",15:00,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Rijeka,Elfsborg,Europa -  Europa,"Qui, 08 Agosto 2024",15:00,44%,53%,V E,V,E,V V V V,V V,V V,2,3,1,3,3,3,50%,100%,0%,0.5,1,0,0.5,1,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,1.77,2.43,1.11,1.1,1.03,1.16,100%,100%,100%,3.25,2.5,4,2.75,2.5,3,0.5,1,1,25%,0%,50%,75%,100%,50%,0%,0%,0%,100%,100%,100%,1.87,1.98,1.76,1.04,0.88,1.2
Hirnyk,Viktoria Plzeň,Europa -  Europa,"Qui, 08 Agosto 2024",15:00,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Celje,Shamrock Rovers,Europa -  Europa,"Qui, 08 Agosto 2024",15:15,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Dinamo Minsk,Lincoln Red Imps,Europa -  Europa,"Qui, 08 Agosto 2024",15:45,44%,53%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Braga,Servette,Europa -  Europa,"Qui, 08 Agosto 2024",16:30,44%,53%,V V,V,V,,,,3,3,3,0,0,0,100%,100%,100%,3.5,2,5,3.5,2,5,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,2.18,2.66,1.69,0.69,0.43,0.94,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Argentinos Juniors,Sarmiento,Argentina - Campeonato Argentino,"Qui, 08 Agosto 2024",15:00,42%,32%,D V D D V,V D V V V,D D D D E,E D V D V,E V V D D,D D V E D,1.33,2.4,0,1.22,1.4,1,44%,80%,0%,2.22,2.6,1.75,0.89,1.6,0,1.33,1,1.75,22%,40%,0%,22%,40%,0%,56%,20%,100%,33%,60%,0%,1.51,1.82,1.13,1.09,0.87,1.37,33%,40%,25%,1.89,1.4,2.5,0.89,0.8,1,1,1.5,1.5,33%,20%,50%,44%,60%,25%,33%,40%,25%,33%,40%,25%,1.12,1.38,0.8,1.65,1.35,2.03
River Plate Res.,Racing Club Res.,Argentina -  de Reservas,"Qui, 08 Agosto 2024",18:00,44%,38%,V V D V V,V V V E D,V D V V V,V V D D V,V V D E E,D V D D E,2.21,2.3,2.11,1.47,1.56,1.38,68%,70%,67%,2.79,3.1,2.44,2.05,2.4,1.67,0.74,0.7,0.78,53%,60%,44%,47%,40%,56%,0%,0%,0%,68%,60%,78%,1.63,1.68,1.58,1.32,1.21,1.42,41%,44%,38%,2.12,2,2.25,1.12,1.11,1.13,1,1.13,1.13,47%,33%,63%,41%,56%,25%,24%,33%,13%,47%,44%,50%,1.42,1.24,1.62,1.31,1.3,1.32
Independiente Riva. Res.,Vélez Sársfield Res.,Argentina -  de Reservas,"Qui, 08 Agosto 2024",18:00,44%,38%,D D D D V,D D V D D,D D E E D,D D E V V,D E V V V,D V V D V,0.69,1.13,0.25,2,2.25,1.63,19%,38%,0%,2.31,3,1.63,0.69,1.25,0.13,1.63,1.75,1.5,31%,50%,13%,13%,13%,13%,63%,38%,88%,6%,13%,0%,1.49,1.87,1.1,1.53,1.6,1.46,60%,67%,50%,2.55,2.25,3,1.95,2,1.88,0.6,1.13,1.13,35%,17%,63%,55%,75%,25%,20%,25%,13%,65%,67%,63%,1.58,1.71,1.4,1.11,1.06,1.19
Talleres Córdoba Res.,Godoy Cruz Res.,Argentina -  de Reservas,"Qui, 08 Agosto 2024",18:00,44%,38%,V E D V E,E V E V V,V D D V D,V V D E V,V E V V V,V D V D D,1.61,1.89,1.33,1.65,2,1.33,44%,44%,44%,2.11,2.33,1.89,1.22,1.56,0.89,0.89,0.78,1,39%,56%,22%,44%,44%,44%,22%,11%,33%,56%,56%,56%,1.63,1.84,1.41,1.16,1.05,1.26,53%,63%,44%,2.47,2.13,2.78,1.29,1.38,1.22,1.18,1.56,1.56,47%,38%,56%,29%,50%,11%,29%,25%,33%,53%,63%,44%,1.52,1.77,1.3,1.42,1.46,1.38
Real Santa Cruz,The Strongest,Bolívia - Campeonato Boliviano,"Qui, 08 Agosto 2024",16:00,56%,53%,E D E D D,E D D D D,E D D D D,V E E D V,V E V V V,E D V E V,0.4,0.25,0.57,2.05,2.55,1.5,7%,0%,14%,2.93,3.13,2.71,0.87,1,0.71,2.07,2.13,2,60%,63%,57%,0%,0%,0%,40%,38%,43%,27%,38%,14%,1.15,1.3,0.98,1.85,1.48,2.28,62%,82%,40%,3.1,3,3.2,1.81,2.18,1.4,1.29,1.8,1.8,52%,64%,40%,43%,36%,50%,14%,0%,30%,62%,73%,50%,1.54,1.86,1.18,1.28,1.15,1.43
Club Aurora,Blooming,Bolívia - Campeonato Boliviano,"Qui, 08 Agosto 2024",19:00,56%,53%,E D E D V,D V E V D,E E D E E,V D V D D,V V D V V,D D D D E,1.47,2.11,0.9,1.71,2.4,0.71,37%,67%,10%,2.95,4,2,1.68,2.56,0.9,1.26,1.44,1.1,74%,89%,60%,16%,11%,20%,16%,0%,30%,58%,67%,50%,1.39,1.63,1.18,1.41,1.33,1.49,53%,80%,14%,2.76,2.7,2.86,1.41,1.6,1.14,1.35,1.71,1.71,47%,40%,57%,29%,40%,14%,29%,20%,43%,41%,50%,29%,1.31,1.47,1.09,1.43,1.2,1.74
Bolívar,Jorge Wilstermann,Bolívia - Campeonato Boliviano,"Qui, 08 Agosto 2024",21:00,56%,53%,V V D E V,V E V V E,V D V E V,V D V D E,V V D V E,D E D V D,1.95,2.33,1.6,1.12,1.56,0.63,58%,67%,50%,3.16,4,2.4,2.16,2.89,1.5,1,1.11,0.9,58%,67%,50%,37%,33%,40%,11%,11%,10%,63%,67%,60%,1.82,2.25,1.45,1.42,1.36,1.47,29%,44%,13%,2.29,2.44,2.13,1.12,1.44,0.75,1.18,1.38,1.38,41%,44%,38%,35%,44%,25%,35%,22%,50%,29%,44%,13%,1.25,1.45,1.02,1.47,1.26,1.7
Goiás,São Paulo,Brasil - Copa do Brasil,"Qui, 08 Agosto 2024",20:00,40%,40%,D D V,V,D D,V V V,V V,V,1,3,0,3,3,3,33%,100%,0%,1.33,1,1.5,0.33,1,0,1,0,1.5,0%,0%,0%,33%,100%,0%,67%,0%,100%,33%,100%,0%,0.56,0.92,0.39,1.62,1.24,1.81,100%,100%,100%,2.67,2,4,2.33,2,3,0.33,1,1,33%,0%,100%,67%,100%,0%,0%,0%,0%,67%,100%,0%,2.71,2.83,2.47,0.49,0.41,0.66
AERP Feminino,Ferroviária Feminino,Brasil - Campeonato Paulista Feminino,"Qui, 08 Agosto 2024",15:00,57%,71%,D D D D E,D E,D D D V,V D V D V,V V D,D V D,0.67,0.5,0.75,1.5,2,1,17%,0%,25%,4.5,4,4.75,1.17,1,1.25,3.33,3,3.5,50%,100%,25%,17%,0%,25%,33%,0%,50%,17%,50%,0%,0.75,1,0.59,2.37,1.41,3.02,50%,67%,33%,3.67,4.33,3,2.17,3,1.33,1.5,1.67,1.67,67%,67%,67%,33%,33%,33%,0%,0%,0%,50%,33%,67%,1.57,1.99,1.29,1.71,1.58,1.79
Smouha,Al Ahly,Egito - Campeonato Egípcio,"Qui, 08 Agosto 2024",15:00,50%,44%,V D V V D,V V D V D,D V E D E,V V V V V,V V V V V,V V V V V,1.55,2,1.13,2.6,2.73,2.47,42%,60%,25%,2.26,2.4,2.13,1.16,1.53,0.81,1.1,0.87,1.31,45%,53%,38%,39%,40%,38%,26%,7%,44%,52%,73%,31%,1.42,1.49,1.36,1.36,1.39,1.33,83%,87%,80%,3.13,3.53,2.73,2.33,2.87,1.8,0.8,0.93,0.93,60%,53%,67%,40%,47%,33%,3%,7%,0%,87%,93%,80%,1.64,1.62,1.66,1.04,0.98,1.11
ZED FC,Zamalek,Egito - Campeonato Egípcio,"Qui, 08 Agosto 2024",15:00,50%,44%,D V V D V,V D V E E,D V D V V,V V D E V,V V E E V,D V V E D,1.57,1.4,1.73,1.77,2.13,1.4,40%,33%,47%,2.47,2.53,2.4,1.47,1.47,1.47,1,1.07,0.93,53%,47%,60%,27%,27%,27%,33%,40%,27%,47%,53%,40%,1.49,1.64,1.36,1.32,1.22,1.42,52%,63%,40%,2.61,2.75,2.47,1.58,1.88,1.27,1.03,1.2,1.2,61%,63%,60%,29%,38%,20%,16%,6%,27%,58%,81%,33%,1.56,1.51,1.62,1.39,1.29,1.49
Auda,Drita,Europa -  de Conferência,"Qui, 08 Agosto 2024",12:00,42%,52%,V V V V,V V,V V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,2,2,2,1.75,2,1.5,0.25,0,0.5,25%,0%,50%,75%,100%,50%,0%,0%,0%,100%,100%,100%,1.68,1.86,1.5,1,0.82,1.19,100%,100%,100%,2,1,3,1.5,1,2,0.5,1,1,50%,0%,100%,50%,100%,0%,0%,0%,0%,100%,100%,100%,1.48,1.86,1.1,2.1,1.71,2.48
Ordabasy,Pyunik,Europa -  de Conferência,"Qui, 08 Agosto 2024",12:00,42%,52%,V D,V,D,V D,V,D,1.5,3,0,1.5,3,0,50%,100%,0%,4,7,1,2,4,0,2,3,1,50%,100%,0%,0%,0%,0%,50%,0%,100%,0%,0%,0%,2.28,3.52,1.05,1.3,1.39,1.21,50%,100%,0%,3.5,4,3,2,3,1,1.5,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.69,2.61,0.77,1.46,1.18,1.74
FC Avan Academy,Puskás,Europa -  de Conferência,"Qui, 08 Agosto 2024",12:00,42%,52%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,3.5,4,3,3,3,3,0.5,1,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,1.28,0.94,1.61,0.87,0.66,1.07,100%,100%,100%,3,3,3,3,3,3,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,50%,100%,0%,,,,,,
Ilves,Djurgården,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:00,42%,52%,D V,V,D,D V,V,D,1.5,3,0,1.5,3,0,50%,100%,0%,5,3,7,2.5,2,3,2.5,1,4,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,100%,0%,1.72,1.35,2.08,1.66,1.57,1.74,50%,100%,0%,2,3,1,1.5,3,0,0.5,1,1,0%,0%,0%,50%,100%,0%,50%,0%,100%,50%,100%,0%,0.88,1.09,0.66,1.08,0.99,1.17
Mladá Boleslav,Hapoel Be'er Sheva,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:00,42%,52%,V V,V,V,V E,E,V,3,3,3,2,1,3,100%,100%,100%,1.5,2,1,1.5,2,1,0,0,0,0%,0%,0%,100%,100%,100%,0%,0%,0%,100%,100%,100%,2.3,2.4,2.2,1.09,0.73,1.45,50%,0%,100%,1.5,0,3,1,0,2,0.5,1,1,50%,0%,100%,50%,100%,0%,50%,100%,0%,50%,0%,100%,1.37,1.45,1.28,1.47,1.54,1.4
HJK,Dečić,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:00,42%,52%,,,,E V,E,V,0,0,0,2,1,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,0%,100%,1,0,2,1,0,2,0,0,0,0%,0%,0%,100%,100%,100%,50%,100%,0%,50%,0%,100%,0.76,0.63,0.89,2.44,2.29,2.57
Saburtalo,Istanbul Basaksehir,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:00,42%,52%,E V,V,E,V V,V,V,2,3,1,3,3,3,50%,100%,0%,1,2,0,1,2,0,0,0,0,0%,0%,0%,100%,100%,100%,50%,0%,100%,50%,100%,0%,1.29,1.47,1.1,1.67,1.12,2.22,100%,100%,100%,5.5,7,4,5,6,4,0.5,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,100%,100%,100%,2.53,2.89,2.16,0.56,0.56,0.55
Silkeborg,Gent,Europa -  de Conferência,"Qui, 08 Agosto 2024",13:30,42%,52%,,,,V V,V,V,0,0,0,3,3,3,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,100%,100%,100%,4,5,3,3.5,4,3,0.5,0,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,3.12,3.65,2.58,0.68,0.64,0.72
