home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Querétaro Women,América Women,México - Campeonato Mexicano Feminino,"Ter, 06 Agosto 2024",22:06,38%,50%,E D V,E V,D,E D,E,D,1.33,2,0,0.5,1,0,33%,50%,0%,2.33,1.5,4,1,1,1,1.33,0.5,3,67%,50%,100%,33%,50%,0%,0%,0%,0%,67%,100%,0%,0.7,0.69,0.72,1.1,0.51,2.28,0%,0%,0%,3.5,4,3,1.5,2,1,2,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.72,2.08,1.35,1.68,1.72,1.63
Libertad,Sportivo Trinidense,Paraguai - Campeonato Paraguaio,"Ter, 06 Agosto 2024",18:30,51%,45%,E D V V V,D V V V D,E V V V E,D D E V D,D D E D V,D E V V V,2.08,2.17,2,0.88,0.42,1.31,60%,67%,54%,2.68,3.08,2.31,1.88,2.25,1.54,0.8,0.83,0.77,56%,58%,54%,40%,42%,38%,16%,8%,23%,48%,50%,46%,1.54,1.67,1.42,1.15,1.11,1.18,24%,8%,38%,2.76,2.42,3.08,1.24,0.92,1.54,1.52,1.54,1.54,60%,58%,62%,16%,8%,23%,32%,33%,31%,40%,42%,38%,1.19,1.23,1.16,1.61,1.63,1.6
Sol de América,Olimpia,Paraguai - Campeonato Paraguaio,"Ter, 06 Agosto 2024",21:00,51%,45%,V D D V V,V D V V D,D V D D D,V E E D E,V E D D V,E E V E V,1.16,1.54,0.75,1.64,1.54,1.75,32%,46%,17%,2.92,3.08,2.75,1.2,1.54,0.83,1.72,1.54,1.92,48%,46%,50%,24%,31%,17%,36%,31%,42%,48%,62%,33%,1.52,1.53,1.51,1.47,1.45,1.5,40%,38%,42%,2.12,2.46,1.75,1.24,1.31,1.17,0.88,0.58,0.58,64%,77%,50%,32%,15%,50%,16%,8%,25%,52%,62%,42%,1.48,1.38,1.59,1.38,1.27,1.49
Santa Clara U23,Benfica U23,Portugal -  Revelação Sub23,"Ter, 06 Agosto 2024",08:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Sporting Braga U23,Rio Ave U23,Portugal -  Revelação Sub23,"Ter, 06 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Leixões U23,Gil Vicente U23,Portugal -  Revelação Sub23,"Ter, 06 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Estoril U23,Mafra U23,Portugal -  Revelação Sub23,"Ter, 06 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
CSM Reşiţa,U Craiova 1948,Romênia - 2ª Divisão da Romênia,"Ter, 06 Agosto 2024",11:00,63%,50%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
CSA Steaua Bucureşti,Argeș,Romênia - 2ª Divisão da Romênia,"Ter, 06 Agosto 2024",13:00,63%,50%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Rayo Zuliano,Deportivo Táchira,Venezuela - Campeonato Venezuelano,"Ter, 06 Agosto 2024",16:00,53%,44%,V V D E E,E E D D D,V V D E D,V E D V D,V V V V D,E D D E D,0.87,0.83,0.89,1.53,2.57,0.63,20%,17%,22%,3,3.17,2.89,1.33,1.5,1.22,1.67,1.67,1.67,80%,67%,89%,0%,0%,0%,20%,33%,11%,53%,50%,56%,1.35,1.55,1.21,1.45,1.18,1.62,40%,86%,0%,1.73,2.14,1.38,1,1.71,0.38,0.73,1,1,33%,29%,38%,40%,57%,25%,40%,14%,63%,60%,86%,38%,1.3,1.39,1.23,1.21,1.17,1.25
UCV,Hermanos Colmenares,Venezuela - Campeonato Venezuelano,"Ter, 06 Agosto 2024",18:45,53%,44%,E V D D V,V D V E E,E D E V E,D D E D D,D E E D V,D D D D D,1.76,1.82,1.7,1.14,1.09,1.2,43%,45%,40%,2.05,1.91,2.2,1.29,1.36,1.2,0.76,0.55,1,33%,27%,40%,62%,64%,60%,24%,27%,20%,52%,45%,60%,1.39,1.37,1.41,1.34,1.3,1.38,33%,27%,40%,2.33,2.36,2.3,0.9,0.91,0.9,1.43,1.4,1.4,48%,55%,40%,24%,27%,20%,29%,18%,40%,43%,36%,50%,1.38,1.55,1.17,1.7,1.49,1.96
Zamora,Metropolitanos,Venezuela - Campeonato Venezuelano,"Ter, 06 Agosto 2024",21:30,53%,44%,D V D D D,V D D E E,D D D D D,E D D E V,E D V V V,D E V E V,0.53,1,0.13,1.64,1.83,1.4,7%,14%,0%,2.27,1.71,2.75,0.73,0.71,0.75,1.53,1,2,53%,43%,63%,20%,43%,0%,40%,43%,38%,33%,29%,38%,1.41,1.52,1.32,1.44,1.21,1.61,45%,50%,40%,2.82,2.42,3.3,1.5,1.58,1.4,1.32,1.9,1.9,59%,58%,60%,27%,42%,10%,27%,17%,40%,45%,50%,40%,1.54,1.57,1.5,1.58,1.39,1.8
