home,away,liga,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Oakland,Sacramento,Estados Unidos - USL Championship,51%,49%,D V V D V,V V V V D,D V D V D,E D V E D,E D V D D,E V E E V,1.45,1.78,1.18,1.61,1.3,2,45,56,36,2.65,2.11,3.09,1.15,1,1.27,1.5,1.11,1.82,50,44,55,20,22,18,30,33,27,35,33,36,1.25,1.29,1.22,1.43,1.41,1.44,39,50,50,1.89,1.88,1.88,1.17,1.38,1.38,0.72,0.5,0.5,39,38,38,50,63,63,28,13,13,61,75,75,1.45,1.34,1.34,1.3,1.39,1.39
Peoria,Des,USA - USL League Two,0%,0%,V V E V V,V E V D V,V V V E V,V V E V V,V V V V V,E V V V D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Michigan,Fort,USA - USL League Two,0%,0%,V V D E V,V V V V V,D E V V V,E V V D V,E V D V E,V V E D V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
United,Project,USA - USL League Two,59%,68%,V V D V V,V V V V V,V V D V V,V V V V V,V V V V V,V V D D D,2,2.71,1.29,2.13,2.71,1.63,64,86,43,4.36,3.86,4.86,2.29,2.71,1.86,2.07,1.14,3,79,86,71,7,14,0,14,0,29,21,29,14,1.75,1.79,1.69,1.29,1.21,1.4,67,50,50,2.27,2.13,2.13,1.6,1.13,1.13,0.67,1,1,40,50,50,40,13,13,20,38,38,53,13,13,1.69,1.94,1.94,1.37,1.64,1.64
Lionsbridge,North,USA - USL League Two,0%,0%,V V V E V,V V E V V,V V V V V,E V V V V,E V E E V,V V V V V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Asheville,The,USA - USL League Two,0%,0%,V V E V V,V V V V V,E V E V V,V V V D V,V V V V V,D V V V E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Seacoast,Vermont,USA - USL League Two,0%,0%,V V V V V,V V V V V,V V V D V,V V V D V,V D V E V,V V V V D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
FC,Ventura,USA - USL League Two,59%,68%,V E V V E,V E V E V,V E V D E,V V V V V,V V V V V,V V D V E,2.5,3,2,2.62,2.57,2.67,75,100,50,2,1.67,2.33,1.75,1.5,2,0.25,0.17,0.33,25,17,33,75,83,67,8,0,17,58,83,33,1.74,0,1.99,0.95,0,1.2,85,83,83,5.15,4.67,4.67,3.85,3.33,3.33,1.31,1.33,1.33,62,50,50,38,50,50,0,0,0,23,17,17,1.72,2.22,2.22,1.2,1.7,1.7
FC,Ventura,USA - USL League Two,0%,0%,V E V V E,V E V E V,V E V D E,V V V V V,V V V V V,V V D V E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Charlotte,California,USA - WPSL,50%,74%,V V V V V,V V V V V,V V V D V,E V V E V,V V E V V,E V E V E,2.73,3,2.4,2.27,2.6,2,91,100,80,3.82,4.83,2.6,3.45,4.5,2.2,0.36,0.33,0.4,27,33,20,73,67,80,0,0,0,45,67,20,1.11,0,2.11,-0.32,0,0.68,64,50,50,4.55,3.5,3.5,3.64,2.5,2.5,0.91,1,1,55,67,67,45,33,33,0,0,0,55,33,33,2.36,2.69,2.69,1.31,1.24,1.24
Tallinna,Kuressaare,Estônia - Campeonato da Estônia,47%,52%,V V V V V,V V V E E,V V V V D,E E D V E,E D E E E,E V D D D,2.55,2.4,2.7,1,1.1,0.89,80,70,90,2.8,2.3,3.3,2.4,1.9,2.9,0.4,0.4,0.4,30,30,30,65,70,60,10,10,10,80,80,80,2.39,2.37,2.42,0.99,0.96,1.01,21,22,22,3,2.78,2.78,1.16,1,1,1.84,1.78,1.78,42,56,56,26,11,11,42,33,33,58,67,67,1.45,1.39,1.39,2.18,2.39,2.39
Paide,Tallinna,Estônia - Campeonato da Estônia,47%,52%,E V D V D,E D D D V,V V D V V,E V D D D,E D D V V,V D D E D,1.6,1.44,1.73,1,1,1,50,44,55,2.6,2.44,2.73,1.5,1.33,1.64,1.1,1.11,1.09,45,44,45,20,11,27,35,44,27,35,22,45,2.01,2.14,1.9,1.39,1.3,1.46,25,22,22,3.05,2.89,2.89,1.15,1,1,1.9,1.89,1.89,45,33,33,20,22,22,35,44,44,50,56,56,1.42,1.19,1.19,2.26,2.31,2.31
Mariehamn,SJK,Finlândia - Campeonato Finlandês,62%,61%,D D V E D,D D E E V,V D V E D,V V E V D,V V D V E,V E D V D,1.14,1.13,1.17,1.87,2.13,1.57,29,25,33,2.64,2.75,2.5,1.14,1.25,1,1.5,1.5,1.5,57,63,50,14,13,17,36,38,33,36,38,33,1.25,1.27,1.22,1.5,1.48,1.53,53,43,43,3.07,3,3,1.73,1.57,1.57,1.33,1.43,1.43,67,57,57,20,29,29,13,14,14,67,57,57,1.7,1.54,1.54,1.42,1.46,1.46
Ilves,VPS,Finlândia - Campeonato Finlandês,62%,61%,D V E E V,V E D V V,D E V E E,D D E E E,D E E V D,D E V V D,1.63,1.75,1.5,1.67,1.5,1.86,44,50,38,3.38,4.13,2.63,2.06,2.63,1.5,1.31,1.5,1.13,50,50,50,44,50,38,13,13,13,56,63,50,1.75,1.83,1.67,1.28,1.15,1.41,47,57,57,3.07,2.71,2.71,1.67,1.43,1.43,1.4,1.29,1.29,87,86,86,13,14,14,7,14,14,60,43,43,1.61,1.35,1.35,1.51,1.43,1.43
KuPS,Lahti,Finlândia - Campeonato Finlandês,62%,61%,V D D D V,V D V V V,D D V V E,D D E E E,D E E D D,D E D E D,1.87,2.5,1.44,0.6,0.75,0.43,53,83,33,2.87,3.67,2.33,1.8,2.67,1.22,1.07,1,1.11,73,83,67,13,0,22,20,17,22,60,83,44,1.64,1.79,1.54,1.25,1.35,1.18,7,0,0,2.93,2.71,2.71,0.93,0.57,0.57,2,2.14,2.14,47,43,43,13,14,14,47,57,57,20,0,0,1.25,0.93,0.93,1.76,2.06,2.06
Stjarnan,Fylkir,Islândia - Campeonato Islandês,67%,65%,E D D V D,D V V E V,E D D D D,V D E D V,V V V D D,D E D D D,1.21,1.86,0.57,0.79,1.43,0.14,36,57,14,3.86,3.86,3.86,1.79,2.29,1.29,2.07,1.57,2.57,64,57,71,21,29,14,14,14,14,43,43,43,1.76,1.67,1.86,1.82,1.9,1.73,21,0,0,4.07,4.86,4.86,1.5,1.29,1.29,2.57,3.57,3.57,64,86,86,14,0,0,29,14,14,29,29,29,1.77,1.57,1.57,1.96,2.05,2.05
Breidablik,KR,Islândia - Campeonato Islandês,67%,65%,E D E V V,E V E V D,E D V V V,D E E E D,E E D E D,D E D V E,1.93,2,1.86,1,0.43,1.57,57,57,57,3.29,3,3.57,2.07,2,2.14,1.21,1,1.43,64,71,57,29,29,29,7,0,14,64,71,57,1.97,2.07,1.87,1.56,1.48,1.63,21,43,43,3.5,3.14,3.14,1.64,1.71,1.71,1.86,1.43,1.43,86,86,86,0,0,0,14,14,14,50,57,57,1.91,1.88,1.88,1.72,1.89,1.89
Sagan,Sanfrecce,Japão - Campeonato Japonês,56%,51%,D V V D D,D D V D D,V V D D V,V D E E V,V D E V V,E V D E V,1,1.08,0.91,1.61,1.75,1.45,30,33,27,3.04,3.08,3,1.3,1.5,1.09,1.74,1.58,1.91,39,33,45,22,25,18,43,50,36,43,33,55,1.35,1.42,1.26,1.77,1.69,1.85,39,27,27,2.74,2.36,2.36,1.7,1.45,1.45,1.04,0.91,0.91,65,73,73,35,27,27,4,9,9,61,64,64,1.78,1.54,1.54,1.13,1.18,1.18
Valmiera,Grobiņa,Letônia - Campeonato Letão,46%,57%,V E D V V,E V V V V,V D V V V,V V V D V,V V D V D,V D D E V,2.09,2,2.17,1.14,1.42,0.8,64,60,67,2.95,3,2.92,2.09,2.2,2,0.86,0.8,0.92,50,50,50,41,30,50,9,20,0,59,50,67,2.04,1.98,2.09,1.39,1.23,1.53,32,20,20,3.09,2.5,2.5,1.14,0.6,0.6,1.95,1.9,1.9,45,40,40,14,10,10,41,50,50,36,30,30,1.14,1.06,1.06,1.88,1.8,1.8
Auda,Liepāja,Letônia - Campeonato Letão,46%,57%,D D D D V,D D D V D,D V V D E,D D D D E,D D D E V,D E E D E,1.14,1.18,1.09,0.68,0.67,0.7,32,36,27,2.41,2.36,2.45,1.32,1.27,1.36,1.09,1.09,1.09,50,45,55,23,27,18,32,27,36,41,36,45,1.83,1.94,1.73,1.24,1.27,1.21,14,10,10,2.59,2.4,2.4,0.73,0.7,0.7,1.86,1.7,1.7,45,50,50,23,30,30,41,40,40,32,30,30,1.31,1.42,1.42,1.71,1.5,1.5
Dainava,Banga,Lituânia - Campeonato da Lituânia,38%,41%,E D V D E,V E E D D,E D D V D,D E V D E,D E D V D,V E D E E,1.14,1.1,1.17,1.23,0.82,1.64,27,20,33,1.73,1.7,1.75,0.77,0.8,0.75,0.95,0.9,1,23,30,17,45,40,50,55,60,50,36,30,42,1.2,1.29,1.13,1.46,1.26,1.62,27,36,36,2.09,1.91,1.91,0.95,1.18,1.18,1.14,0.73,0.73,32,36,36,45,55,55,41,27,27,32,45,45,1.43,1.44,1.44,1.74,1.67,1.67
Cruz,Toluca,México - Campeonato Mexicano,50%,50%,V V V,V V,V,V V E,V V,E,3,3,3,2.33,3,1,100,100,100,2.67,2,4,2.67,2,4,0,0,0,0,0,0,100,100,100,0,0,0,100,100,100,1.94,1.99,1.85,0.9,0.95,0.8,67,0,0,2.67,0,0,2,0,0,0.67,0,0,33,0,0,67,100,100,33,100,100,67,0,0,1.22,1.02,1.02,1.26,1.51,1.51
Juárez,América,México - Campeonato Mexicano,50%,50%,D D E,D E,D,D V D,V,D D,0.33,0.5,0,1,3,0,0,0,0,4,3.5,5,1.67,1.5,2,2.33,2,3,100,100,100,0,0,0,0,0,0,67,100,0,1.17,1.09,1.33,1.27,1.35,1.12,33,0,0,2.67,2,2,1.33,0.5,0.5,1.33,1.5,1.5,67,50,50,0,0,0,33,50,50,67,50,50,1.33,1.29,1.29,1.28,1.51,1.51
Pumas,Pachuca,México - Campeonato Mexicano,50%,50%,V E V,V,V E,V E D,V D,E,2.33,3,2,1.33,1.5,1,67,100,50,3.33,5,2.5,2.33,4,1.5,1,1,1,100,100,100,0,0,0,0,0,0,33,100,0,1.67,1.68,1.67,1.03,1.08,1,33,0,0,1,0,0,0.67,0,0,0.33,0,0,0,0,0,67,100,100,67,100,100,33,0,0,1.42,1.12,1.12,1.35,1.5,1.5
León,Necaxa,México - Campeonato Mexicano,50%,50%,E E D,E,E D,D V D,D V,D,0.67,1,0.5,1,1.5,0,0,0,0,3,0,4.5,1,0,1.5,2,0,3,67,0,100,33,100,0,33,100,0,0,0,0,1.28,1.5,1.17,1.57,1.12,1.79,33,0,0,2.33,1,1,1.33,0,0,1,1,1,33,0,0,0,0,0,67,100,100,33,0,0,1.52,1.14,1.14,1.42,1.63,1.63
Strømsgodset,Tromsø,Noruega - Campeonato Norueguês,59%,56%,D E E E V,E E V D E,D E V D D,D E V D D,D D D V V,E V E D D,1.36,1.5,1.25,0.93,1,0.83,36,33,38,2.5,2,2.88,1.14,1.17,1.13,1.36,0.83,1.75,50,50,50,29,33,25,29,17,38,50,67,38,1.4,1.59,1.26,1.65,1.27,1.93,27,17,17,2.73,1.83,1.83,1.13,0.5,0.5,1.6,1.33,1.33,40,33,33,27,33,33,47,67,67,20,17,17,1.41,1.32,1.32,1.31,1.43,1.43
HamKam,Fredrikstad,Noruega - Campeonato Norueguês,59%,56%,V E V D D,E D V E D,V V D V E,E D E D E,E E V V E,D E D V V,1.13,0.83,1.33,1.64,1.5,1.75,27,17,33,2.33,1.67,2.78,1.2,0.67,1.56,1.13,1,1.22,53,33,67,13,33,0,40,50,33,47,33,56,1.21,1.15,1.24,1.43,1.34,1.49,43,50,50,2.5,2.88,2.88,1.5,1.75,1.75,1,1.13,1.13,43,50,50,43,38,38,29,13,13,57,75,75,1.22,1.18,1.18,1.42,1.43,1.43
Haugesund,Viking,Noruega - Campeonato Norueguês,59%,56%,E D D V D,D D V V D,E D E D V,V V V E V,V V V D V,V E V V E,1.08,0.86,1.33,2,2.13,1.83,31,29,33,2.31,2.14,2.5,0.92,0.71,1.17,1.38,1.43,1.33,54,43,67,15,14,17,31,43,17,31,29,33,1.25,1.3,1.19,1.51,1.4,1.63,57,50,50,3,3,3,1.86,1.83,1.83,1.14,1.17,1.17,57,50,50,36,33,33,7,17,17,64,50,50,1.42,1.22,1.22,1.3,1.31,1.31
Rosenborg,Lillestrøm,Noruega - Campeonato Norueguês,59%,56%,D V D E V,V E V D D,D D D E D,V D V V D,V V D D E,D V D V D,1.21,1.86,0.57,1.36,1,1.71,36,57,14,3.36,2.71,4,1.43,1.43,1.43,1.93,1.29,2.57,71,71,71,14,29,0,14,0,29,50,71,29,1.35,1.4,1.29,1.34,1.07,1.61,43,57,57,3,2.57,2.57,1.29,1.43,1.43,1.71,1.14,1.14,50,43,43,14,29,29,36,29,29,50,57,57,1.31,1.32,1.32,1.31,1.32,1.32
UMECIT,San,Panamá - Campeonato do Panamá,54%,44%,E V E D D,E V E D E,D D D V E,E D V D V,E V V V D,D V D V V,1.31,1.63,1,1.78,1.78,1.78,31,38,25,1.81,1.75,1.88,0.88,1,0.75,0.94,0.75,1.13,50,50,50,44,50,38,31,25,38,38,50,25,1.3,1.28,1.33,1.43,1.63,1.23,50,56,56,1.94,1.78,1.78,1.06,0.89,0.89,0.89,0.89,0.89,33,22,22,50,56,56,33,33,33,44,56,56,1.32,1.19,1.19,1.32,1.46,1.46
Alianza,Sporting,Panamá - Campeonato do Panamá,54%,44%,D E V E E,D E V D V,E V E D D,V E V V V,V V E D V,V E V E E,1.44,1.38,1.5,1.31,1.5,1.13,38,38,38,2.25,1.88,2.63,1.06,0.88,1.25,1.19,1,1.38,44,25,63,31,38,25,38,50,25,44,38,50,1.38,1.38,1.38,1.19,1.17,1.22,31,25,25,2.25,1.63,1.63,1.13,0.75,0.75,1.13,0.88,0.88,63,50,50,13,13,13,25,38,38,63,63,63,1.42,1.46,1.46,1.25,1.05,1.05
General,Sportivo,Paraguai - Campeonato Paraguaio,53%,47%,D D V E D,D V D D D,D E E D D,D V V D V,D D E D D,V V V V V,0.86,1.09,0.64,1.59,1.09,2.09,14,27,0,2.59,2.91,2.27,1,1.27,0.73,1.59,1.64,1.55,68,73,64,14,18,9,27,18,36,32,45,18,1.27,1.39,1.14,1.53,1.54,1.51,45,64,64,2.14,1.91,1.91,1.14,1.36,1.36,1,0.55,0.55,36,36,36,45,55,55,27,18,18,45,55,55,1.44,1.38,1.38,1.43,1.32,1.32
Sol,2,Paraguai - Campeonato Paraguaio,53%,47%,V V D V D,V V D V D,V D D D D,D E D V D,E V V V D,D D D D V,1.18,1.55,0.82,1.33,1.91,0.7,32,45,18,2.95,3.18,2.73,1.18,1.55,0.82,1.77,1.64,1.91,50,55,45,23,27,18,36,27,45,45,64,27,1.57,1.56,1.58,1.55,1.53,1.56,38,20,20,2.38,2.6,2.6,1.19,0.9,0.9,1.19,1.7,1.7,48,50,50,24,10,10,33,40,40,52,30,30,1.2,1.2,1.2,1.11,1.33,1.33
Fernando,Sportivo,Paraguai - 2ª Divisão do Paraguai,52%,43%,D V E E E,V E V V D,D E E D D,D D E V E,E E V V V,D D V E V,1.44,2.13,0.75,1.75,1.88,1.63,38,63,13,2.38,2.13,2.63,1.25,1.38,1.13,1.13,0.75,1.5,56,63,50,25,38,13,19,0,38,50,63,38,1.48,1.49,1.48,1.42,1.41,1.43,50,50,50,2.38,2.13,2.13,1.44,1.25,1.25,0.94,0.88,0.88,50,38,38,38,38,38,25,38,38,38,38,38,1.52,1.41,1.41,1.24,1.34,1.34
Deportivo,Deportivo,Paraguai - 2ª Divisão do Paraguai,52%,43%,D V V E E,V E V V E,D V E D E,V D E D V,V E V V V,D D D V V,1.25,1.88,0.63,2.19,2.75,1.63,31,50,13,2.56,2,3.13,1.13,1.25,1,1.44,0.75,2.13,56,50,63,25,38,13,19,13,25,56,75,38,1.35,1.54,1.24,1.2,0.85,1.41,69,50,50,3.13,3,3,2.25,1.63,1.63,0.88,1.38,1.38,50,75,75,50,25,25,0,0,0,81,75,75,1.46,1.52,1.52,1.43,1.51,1.51
Atlético,Universitario,Peru - Campeonato Peruano,47%,51%,E D V E E,V E D E V,E D E D D,V V E V D,V V V V V,E D V V E,1.11,1.56,0.67,2.39,3,1.78,22,33,11,2,2.11,1.89,1.06,1.44,0.67,0.94,0.67,1.22,39,44,33,44,56,33,39,22,56,33,44,22,1.37,1.57,1.16,1.13,0.82,1.44,72,44,44,2.5,1.89,1.89,2.11,1.22,1.22,0.39,0.67,0.67,22,33,33,72,56,56,22,44,44,72,56,56,1.68,1.46,1.46,1.11,1.28,1.28
Carlos,Unión,Peru - Campeonato Peruano,47%,51%,D E E D E,E E V D V,D E D D D,D E D E D,D E E D E,D D E D D,0.78,1.22,0.33,0.5,0.78,0.22,17,33,0,2.83,2.67,3,0.61,0.78,0.44,2.22,1.89,2.56,28,33,22,22,33,11,61,44,78,17,33,0,1.11,1.28,0.94,1.65,1.37,1.93,6,0,0,3,2.67,2.67,1,0.67,0.67,2,2,2,67,56,56,11,11,11,28,44,44,28,11,11,1.11,1.01,1.01,1.57,1.75,1.75
Sporting,Sport,Peru - Campeonato Peruano,47%,51%,D V V D V,V V V V D,D V D D V,V V V E D,V V E E D,V D D E D,2.22,2.63,1.9,1.22,1.8,0.5,72,88,60,3.78,4,3.6,2.5,3.13,2,1.28,0.88,1.6,72,63,80,28,38,20,0,0,0,78,75,80,1.55,1.8,1.35,1.5,1.15,1.79,33,13,13,2.28,2.63,2.63,1.11,0.88,0.88,1.17,1.75,1.75,39,38,38,39,13,13,39,63,63,44,25,25,1.28,1.09,1.09,1.28,1.47,1.47
Cienciano,ADT,Peru - Campeonato Peruano,47%,51%,V E E V E,E E D E V,V E V D V,V D V E V,V V V V E,D E V D V,1.61,1.56,1.67,1.72,2.56,0.89,39,33,44,2.39,2.56,2.22,1.22,1.33,1.11,1.17,1.22,1.11,67,67,67,17,22,11,22,22,22,39,44,33,1.36,1.63,1.09,1.55,1.42,1.68,50,22,22,3.17,3.67,3.67,1.78,1.44,1.44,1.39,2.22,2.22,56,67,67,33,11,11,11,22,22,61,44,44,1.64,1.31,1.31,1.25,1.51,1.51
San,Juan,Peru - 2ª Divisão do Peru,42%,56%,E D V V V,D V V V V,E V V D D,D D D V D,D D V V V,D D V D V,2.07,2.57,1.57,1.64,1.75,1.5,64,86,43,3.29,3.57,3,2.29,2.86,1.71,1,0.71,1.29,57,57,57,43,43,43,7,0,14,36,71,0,1.71,2.22,1.4,1.4,1.56,1.3,50,50,50,2.64,2.83,2.83,1.57,1.5,1.5,1.07,1.33,1.33,36,33,33,36,33,33,36,33,33,36,17,17,1.77,1.6,1.6,1.55,1.86,1.86
Deportivo,UCV,Peru - 2ª Divisão do Peru,42%,56%,V V D D D,V D E D V,V D D E V,D E D E V,D D V D D,E E E D D,1.07,1.14,1,0.73,0.88,0.57,27,29,25,2.8,2.57,3,1.13,1,1.25,1.67,1.57,1.75,60,57,63,7,14,0,40,43,38,33,29,38,1.39,1.7,1.11,1.81,1.72,1.89,13,0,0,1.87,1.71,1.71,0.67,0.57,0.57,1.2,1.14,1.14,33,29,29,27,29,29,53,71,71,27,0,0,1.19,1.06,1.06,1.5,1.6,1.6
Cracovia,Piast,Polônia - Campeonato Polonês,40%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Lech,Górnik,Polônia - Campeonato Polonês,40%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Motor,Raków,Polônia - Campeonato Polonês,40%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Wisła,Kotwica,Polônia - 2ª Divisão da Polônia,20%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
ŁKS,Wisła,Polônia - 2ª Divisão da Polônia,20%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Tychy,Miedź,Polônia - 2ª Divisão da Polônia,20%,40%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
MFK,Slovan,República Tcheca - Campeonato Tcheco,60%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Slovácko,Slavia,República Tcheca - Campeonato Tcheco,60%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Hradec,FK,República Tcheca - Campeonato Tcheco,60%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Sparta,Baník,República Tcheca - 2ª Divisão da República Tcheca,40%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Varnsdorf,Viktoria,República Tcheca - 2ª Divisão da República Tcheca,40%,60%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Universitatea,Hermannstadt,Romênia - Campeonato Romeno,57%,42%,E,,E,E,E,,1,0,1,1,1,0,0,0,0,2,0,2,1,0,1,1,0,1,100,0,100,0,0,0,0,0,0,0,0,0,-0.46,0,0.54,0.85,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,-0.16,0,0,1.23,0,0
Dinamo,Petrolul,Romênia - Campeonato Romeno,57%,42%,D,,D,E,E,,0,0,0,1,1,0,0,0,0,5,0,5,2,0,2,3,0,3,100,0,100,0,0,0,0,0,0,100,0,100,-0.15,0,0.85,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,-0.05,0,0,-0.29,0,0
Orenburg,Spartak,Rússia - Campeonato Russo,50%,75%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Akhmat,Krasnodar,Rússia - Campeonato Russo,50%,75%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Khimki,Makhachkala,Rússia - Campeonato Russo,50%,75%,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
Tyumen,Spartak,Rússia - 2ª Divisão da Rússia,23%,31%,D,,D,E,E,,0,0,0,1,1,0,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,0,0,0,100,0,100,0,0,0,0.48,0,1.48,0.78,0,1.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,0,0.63,0,0,0.26,0,0
Neftekhimik,Ufa,Rússia - 2ª Divisão da Rússia,23%,31%,V,V,,E,,E,3,3,0,1,0,1,100,100,0,3,3,0,3,3,0,0,0,0,0,0,0,100,100,0,0,0,0,100,100,0,0.78,1.78,0,0.48,1.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,0,0,0,0.26,1.26,1.26,0.63,1.63,1.63
