home,away,liga,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Colchagua,Deportes,Chile - 4ª Divisão do Chile,54%,62%,D E V V V,D V V D V,E V V E V,V V D E V,V E V V D,V D D E,1.92,1.8,2,1.5,1.75,1,58,60,57,2.33,2.8,2,1.58,2,1.29,0.75,0.8,0.71,42,40,43,33,20,43,42,40,43,33,40,29,1.76,1.98,1.53,1.21,0.98,1.43,42,25,25,4.75,4.5,4.5,2.58,2,2,2.17,2.5,2.5,83,50,50,8,25,25,8,25,25,33,25,25,1.5,1.37,1.37,1.49,1.91,1.91
Iberia,Imperial,Chile - 4ª Divisão do Chile,54%,62%,D D D D D,D D D V D,D D E D D,V D V V D,D V V D D,V V E D,0.42,0.6,0.29,1.33,1.13,1.75,8,20,0,3.17,2.4,3.71,1,0.6,1.29,2.17,1.8,2.43,67,40,86,17,20,14,25,40,14,33,20,43,1.27,1.39,1.18,1.75,1.2,2.16,42,50,50,4.17,5,5,2,2.5,2.5,2.17,2.5,2.5,67,75,75,8,0,0,25,25,25,17,25,25,1.97,1.67,1.67,1.37,1.85,1.85
Brujas,Santiago,Chile - 4ª Divisão do Chile,54%,62%,V V V E V,V E V V V,V V E V V,V E V V D,E V V V V,V V D V D,2.67,2.6,2.71,2.08,2.29,1.8,83,80,86,1.92,1.4,2.29,1.58,1.2,1.86,0.33,0.2,0.43,33,20,43,67,80,57,17,20,14,58,60,57,1.25,0,1.41,0.99,0,1.16,67,60,60,2.75,2.4,2.4,1.92,1.6,1.6,0.83,0.8,0.8,42,20,20,42,40,40,25,40,40,50,20,20,1.62,1.25,1.25,1.49,1.84,1.84
Qingdao,Meizhou,China - Campeonato Chinês,56%,56%,V D D D D,V D D E D,D D D V E,V D D D D,V D D E E,D D V D V,0.84,0.9,0.78,0.84,0.73,1,21,20,22,3.26,3,3.56,1.16,1.3,1,2.11,1.7,2.56,58,50,67,11,20,0,37,40,33,37,20,56,1.23,1.25,1.2,1.99,2.02,1.95,16,25,25,2.21,2.38,2.38,0.68,0.75,0.75,1.53,1.63,1.63,42,25,25,32,38,38,47,50,50,16,38,38,1.15,1.1,1.1,1.78,1.99,1.99
Nantong,Shandong,China - Campeonato Chinês,56%,56%,D D V E D,D E D E D,D V D D E,E D D E E,E V V V V,D D E E E,0.74,0.56,0.9,1.63,2,1.3,16,11,20,2.95,2.33,3.5,1.05,0.67,1.4,1.89,1.67,2.1,63,44,80,11,11,10,26,44,10,32,22,40,1.21,1.24,1.18,1.37,1.23,1.49,42,30,30,3.05,2.6,2.6,1.58,1,1,1.47,1.6,1.6,53,40,40,32,40,40,32,40,40,42,30,30,1.74,1.58,1.58,1.27,1.4,1.4
Henan,Zhejiang,China - Campeonato Chinês,56%,56%,E D V V V,D V V D D,E V E D D,D V D D V,V V V V V,D D D D V,1.11,1.1,1.11,1.47,2.2,0.67,26,30,22,2.84,2.5,3.22,1.26,1.1,1.44,1.58,1.4,1.78,63,60,67,26,20,33,21,20,22,42,50,33,1.54,1.6,1.49,1.26,1.2,1.33,47,22,22,3.58,3.56,3.56,1.74,0.89,0.89,1.84,2.67,2.67,58,44,44,21,11,11,26,44,44,42,33,33,1.86,1.73,1.73,1.57,1.73,1.73
Shanghai,Qingdao,China - Campeonato Chinês,56%,56%,V V V V V,V V V V V,V V V V V,E V D D V,V D V E E,E D V D D,2.68,2.78,2.6,1,1.22,0.8,84,89,80,4,4.56,3.5,3.11,3.33,2.9,0.89,1.22,0.6,58,89,30,42,11,70,5,0,10,84,78,90,2.33,2.43,2.24,1.17,1.33,1.03,26,20,20,2.53,1.9,1.9,0.89,0.5,0.5,1.63,1.4,1.4,37,20,20,16,20,20,53,70,70,26,20,20,1.28,1.15,1.15,1.71,1.71,1.71
Beijing,Tianjin,China - Campeonato Chinês,56%,56%,D D V V D,D V V V V,D D E D V,D E V E D,E V D E E,D E D V V,1.79,2.11,1.5,1.26,0.89,1.6,53,67,40,3.21,4,2.5,1.89,2.67,1.2,1.32,1.33,1.3,68,78,60,32,22,40,5,0,10,68,56,80,1.46,1.84,1.12,1.59,1.44,1.73,32,50,50,2.89,3.5,3.5,1.53,2,2,1.37,1.5,1.5,63,80,80,26,20,20,21,0,0,47,50,50,1.46,1.27,1.27,1.5,1.59,1.59
Shenzhen,Changchun,China - Campeonato Chinês,56%,56%,E E D V V,E V D D D,E D V E D,D E V E D,V E E V E,D E D E D,0.95,0.67,1.2,0.95,1,0.9,21,11,30,2.74,3.22,2.3,0.95,0.89,1,1.79,2.33,1.3,53,56,50,21,11,30,37,44,30,21,0,40,1.33,1.27,1.38,1.4,1.51,1.3,21,20,20,3.26,3.8,3.8,1.47,1.5,1.5,1.79,2.3,2.3,63,70,70,21,20,20,26,20,20,53,50,50,1.18,1.14,1.14,1.69,2.01,2.01
Chongqing,Qingdao,China - 2ª Divisão da China,51%,45%,E D E V V,V V V V V,E D E V E,E D D D V,D V E D D,E D D E E,1.94,2.71,1.4,1.06,1,1.11,53,86,30,2.47,2.71,2.3,1.71,2.14,1.4,0.76,0.57,0.9,53,57,50,35,43,30,18,0,30,53,100,20,1.53,1.58,1.5,0.93,0.94,0.92,24,22,22,3.12,3.22,3.22,1.47,1.56,1.56,1.65,1.67,1.67,65,78,78,12,0,0,29,22,22,53,67,67,1.34,1.28,1.28,1.43,1.4,1.4
Shijiazhuang,Jiangxi,China - 2ª Divisão da China,51%,45%,V D D E D,V D E V V,D D D V D,D D E D E,D D D D D,D E E D D,1.47,2,0.88,0.24,0.13,0.33,41,56,25,2.24,2.11,2.38,1.12,1.33,0.88,1.12,0.78,1.5,47,44,50,41,56,25,29,22,38,47,67,25,1.58,1.8,1.33,1.31,1.2,1.44,0,0,0,3.18,2.78,2.78,0.88,0.78,0.78,2.29,2,2,65,67,67,12,11,11,35,33,33,18,22,22,1.3,1.37,1.37,1.62,1.58,1.58
Suzhou,Wuxi,China - 2ª Divisão da China,51%,45%,D V V V V,V E E E V,D V V V E,E V E D D,E D D E D,E V D D E,1.59,1.63,1.56,0.65,0.75,0.56,41,38,44,2.88,1.75,3.89,1.71,1.13,2.22,1.18,0.63,1.67,41,38,44,35,50,22,29,25,33,53,50,56,1.43,1.43,1.43,1.47,1.34,1.59,12,11,11,2.41,2.56,2.56,0.82,0.89,0.89,1.59,1.67,1.67,47,56,56,18,11,11,47,44,44,24,33,33,1.11,1.02,1.02,1.38,1.6,1.6
Millonarios,Atlético,Colômbia - Campeonato Colombiano,41%,37%,E V E E D,V D V V V,E E E D V,V D V V D,V V V E E,D D V D V,1.54,1.77,1.31,1.86,2.27,1.38,42,54,31,2.35,2.46,2.23,1.35,1.62,1.08,1,0.85,1.15,50,38,62,31,38,23,27,23,31,46,54,38,1.42,1.58,1.27,1.19,1.02,1.36,54,38,38,1.71,1.38,1.38,1.14,0.69,0.69,0.57,0.69,0.69,25,15,15,61,54,54,36,54,54,54,31,31,1.13,0.96,0.96,1.24,1.43,1.43
Atlético,América,Colômbia - Campeonato Colombiano,41%,37%,V V E D E,V D D V V,V E E V D,V E D E E,E V V V D,V E D E V,1.35,1.56,1.18,1.4,1.89,1,35,44,27,2.15,2,2.27,1.15,1.22,1.09,1,0.78,1.18,40,44,36,45,33,55,35,33,36,45,56,36,1.6,1.85,1.4,1.19,0.98,1.35,35,18,18,2.05,1.91,1.91,1.2,0.91,0.91,0.85,1,1,45,55,55,30,18,18,45,45,45,40,27,27,1.46,1.29,1.29,1.23,1.24,1.24
Junior,Boyacá,Colômbia - Campeonato Colombiano,41%,37%,D D V E D,V D V V E,D D E E E,D D D V D,D D D V V,D V D D D,1.42,2.17,0.79,0.9,1.27,0.44,38,67,14,2.19,2.08,2.29,1.12,1.5,0.79,1.08,0.58,1.5,31,33,29,46,58,36,38,17,57,42,67,21,1.31,1.46,1.18,1.31,1.26,1.37,25,11,11,2.9,3.44,3.44,1.1,0.89,0.89,1.8,2.56,2.56,60,56,56,15,0,0,25,44,44,35,22,22,1.34,1.29,1.29,1.22,1.5,1.5
Cúcuta,Atlético,Colômbia - 2ª Divisão da Colômbia,45%,45%,V D D D V,V D V V V,D D D E V,D D D D D,D D D D D,D D D V D,1.73,2.36,1.09,0.31,0,0.63,50,73,27,2.41,2.82,2,1.36,1.91,0.82,1.05,0.91,1.18,50,64,36,36,36,36,18,0,36,59,73,45,1.33,1.49,1.19,1.61,1.58,1.64,6,13,13,2.44,2.38,2.38,0.31,0.5,0.5,2.13,1.88,1.88,19,25,25,6,13,13,75,63,63,6,13,13,1.32,1.35,1.35,1.62,1.45,1.45
Atlético,Deportes,Colômbia - 2ª Divisão da Colômbia,45%,45%,V D V D D,V V D V V,D D V D D,D V E D D,V D E E V,D E D E D,2.05,2.73,1.36,1.36,2,0.73,68,91,45,2.05,1.91,2.18,1.36,1.64,1.09,0.68,0.27,1.09,27,18,36,55,73,36,18,9,27,73,91,55,1.48,1.76,1.21,1.28,1.09,1.46,32,9,9,2.14,1.91,1.91,1.14,0.73,0.73,1,1.18,1.18,50,36,36,32,27,27,27,55,55,45,36,36,1.71,1.56,1.56,1.32,1.46,1.46
Tigres,Barranquilla,Colômbia - 2ª Divisão da Colômbia,45%,45%,D D D D D,D D D V E,D D D E V,V D D E D,V D E V E,D D E E D,1.23,1.09,1.36,1.13,1.63,0.63,32,27,36,2.14,1.64,2.64,1.05,0.91,1.18,1.09,0.73,1.45,27,18,36,36,36,36,55,64,45,32,27,36,1.33,1.43,1.24,1.42,1.23,1.61,25,13,13,2.31,2.5,2.5,1.19,1,1,1.13,1.5,1.5,50,63,63,25,0,0,31,38,38,56,50,50,1.51,1.29,1.29,1.38,1.57,1.57
Daejeon,Pohang,Coreia do Sul - Campeonato Coreano,55%,50%,E D E D D,E E D V V,D D E D E,D V E V E,V V E E E,D E E V D,0.87,1.33,0.36,1.78,1.91,1.67,17,33,0,2.39,2.08,2.73,0.96,1.08,0.82,1.43,1,1.91,57,50,64,17,25,9,35,33,36,43,42,45,1.26,1.26,1.26,1.59,1.44,1.75,48,50,50,2.61,3.25,3.25,1.57,1.83,1.83,1.04,1.42,1.42,61,67,67,30,17,17,17,17,17,57,50,50,1.5,1.44,1.44,1.52,1.6,1.6
FC,Sangju,Coreia do Sul - Campeonato Coreano,55%,50%,D V D V V,V V V D D,D D V E E,V D E V V,V D V V V,E V D E E,1.3,1.45,1.17,1.87,2.17,1.55,35,45,25,2.91,3.09,2.75,1.61,1.82,1.42,1.3,1.27,1.33,57,55,58,30,36,25,26,18,33,30,36,25,1.52,1.58,1.47,1.47,1.49,1.45,52,36,36,2.57,2.45,2.45,1.57,1.27,1.27,1,1.18,1.18,43,45,45,52,45,45,22,36,36,52,36,36,1.59,1.49,1.49,1.35,1.37,1.37
Daegu,Gwangju,Coreia do Sul - Campeonato Coreano,55%,50%,E E E D D,E E V V D,E D D D D,D V D V D,D V V D D,V D D D V,1,1.27,0.75,1.22,1.5,0.91,22,27,17,2.35,2.18,2.5,1,1.18,0.83,1.35,1,1.67,48,45,50,22,45,0,43,36,50,30,45,17,1.57,1.61,1.54,1.59,1.48,1.69,39,27,27,2.78,2.55,2.55,1.3,1.09,1.09,1.48,1.45,1.45,61,64,64,13,9,9,26,27,27,52,64,64,1.58,1.37,1.37,1.31,1.42,1.42
Incheon,Suwon,Coreia do Sul - Campeonato Coreano,55%,50%,V E E D D,E D D E E,V E D E D,E V E V V,E E V V V,V V D D D,1.09,0.91,1.25,1.65,1.75,1.55,22,18,25,2.39,2.09,2.67,1.13,1,1.25,1.26,1.09,1.42,52,55,50,30,18,42,30,27,33,35,45,25,1.44,1.43,1.45,1.58,1.49,1.66,48,45,45,2.65,2.82,2.82,1.3,1.27,1.27,1.35,1.55,1.55,57,55,55,26,18,18,17,27,27,48,27,27,1.61,1.5,1.5,1.58,1.77,1.77
Gimpo,Anyang,Coreia do Sul - 2ª Divisão da Coreia,59%,53%,D E E E V,E E E V V,D V V E V,D V V E V,D V V V D,V E D V E,1.5,1.5,1.5,2,2,2,40,38,42,2.3,2.38,2.25,1.15,1.25,1.08,1.15,1.13,1.17,60,63,58,25,25,25,25,13,33,45,50,42,1.26,1.39,1.18,1.62,1.32,1.82,60,56,56,2.55,2.78,2.78,1.55,1.56,1.56,1,1.22,1.22,50,78,78,45,22,22,15,11,11,65,56,56,1.71,1.47,1.47,1.47,1.51,1.51
Seoul,Cheonan,Coreia do Sul - 2ª Divisão da Coreia,59%,53%,V V D D D,V D V E D,V D D V V,D D E D V,D D D D D,D E V E V,1.55,1.5,1.6,1,0.27,1.8,45,40,50,3.1,3,3.2,1.85,1.7,2,1.25,1.3,1.2,65,80,50,20,10,30,15,10,20,65,80,50,1.57,1.55,1.6,1.35,1.29,1.42,24,50,50,2.71,2.7,2.7,1.14,1.5,1.5,1.57,1.2,1.2,62,60,60,14,20,20,29,20,20,38,40,40,1.3,1.3,1.3,1.65,1.76,1.76
Asan,Ansan,Coreia do Sul - 2ª Divisão da Coreia,59%,53%,D E V V V,V V E V D,D E V V D,D D E V D,D D D V E,D E V D D,1.48,1.64,1.3,0.81,0.7,0.91,38,36,40,3,2.45,3.6,1.62,1.64,1.6,1.38,0.82,2,57,64,50,29,36,20,19,9,30,62,73,50,1.47,1.58,1.36,1.37,1.35,1.39,19,18,18,2,2.09,2.09,0.81,1,1,1.19,1.09,1.09,48,55,55,24,18,18,38,36,36,38,45,45,1.13,1.14,1.14,1.46,1.45,1.45
