home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Palmeiras,Vitória,Brasil - Brasileirão Série A,"Sáb, 27 Julho 2024",19:00,55%,47%,D V D V V,V V V V V,D D E D V,D D D D V,D D V D V,D D D V D,1.89,2.2,1.56,0.79,1,0.56,58%,70%,44%,2.16,2.2,2.11,1.42,1.6,1.22,0.74,0.6,0.89,26%,30%,22%,47%,50%,44%,37%,30%,44%,58%,70%,44%,1.7,1.83,1.56,1.19,1.17,1.22,21%,30%,11%,2.74,2.8,2.67,1.05,1.2,0.89,1.68,1.78,1.78,63%,60%,67%,11%,0%,22%,32%,40%,22%,32%,40%,22%,1.24,1.23,1.25,1.46,1.49,1.42
Juventude,Criciúma,Brasil - Brasileirão Série A,"Sáb, 27 Julho 2024",19:00,55%,47%,D E E V D,E E V V V,D D D D D,E D D E D,E E V E V,D D D D V,1.24,2.11,0.25,1.06,1.22,0.88,29%,56%,0%,2.41,1.89,3,1.12,1.44,0.75,1.29,0.44,2.25,59%,44%,75%,29%,56%,0%,18%,11%,25%,35%,67%,0%,1.29,1.33,1.24,1.5,1.4,1.62,24%,22%,25%,3,2.89,3.13,1.41,1.33,1.5,1.59,1.63,1.63,88%,89%,88%,12%,11%,13%,0%,0%,0%,59%,67%,50%,1.42,1.53,1.3,1.65,1.72,1.58
Bahia,Internacional,Brasil - Brasileirão Série A,"Sáb, 27 Julho 2024",20:00,55%,47%,E D D V D,D D V V V,E V D D D,D D E E D,D D V E E,D E E V D,1.63,2.33,1,1.36,1.33,1.38,47%,78%,20%,2.68,2.22,3.1,1.47,1.56,1.4,1.21,0.67,1.7,68%,44%,90%,21%,44%,0%,11%,11%,10%,42%,56%,30%,1.45,1.62,1.29,1.4,1.08,1.7,36%,33%,38%,1.71,2,1.5,0.86,1,0.75,0.86,0.75,0.75,50%,67%,38%,36%,33%,38%,21%,17%,25%,43%,17%,63%,1.33,1.62,1.12,1.15,1.08,1.2
Fortaleza,São Paulo,Brasil - Brasileirão Série A,"Sáb, 27 Julho 2024",21:30,55%,47%,E V V V V,V V V V V,E V D E D,E E V D V,E V V V V,E D V D E,1.83,2.4,1.13,1.68,2,1.33,50%,70%,25%,2.28,2.3,2.25,1.28,1.7,0.75,1,0.6,1.5,56%,60%,50%,28%,40%,13%,22%,0%,50%,72%,100%,38%,1.26,1.39,1.09,1.61,1.3,1.99,47%,60%,33%,2.53,2.3,2.78,1.47,1.5,1.44,1.05,1.33,1.33,58%,50%,67%,37%,40%,33%,21%,20%,22%,58%,60%,56%,1.41,1.49,1.33,1.21,1.16,1.26
Botafogo,Cruzeiro,Brasil - Brasileirão Série A,"Sáb, 27 Julho 2024",21:30,55%,47%,E V V V V,V V V V E,E V V E D,V D V V V,V V V V V,D V D D D,2.11,2.44,1.8,1.78,3,0.8,63%,78%,50%,2.47,2.33,2.6,1.63,1.78,1.5,0.84,0.56,1.1,58%,44%,70%,42%,56%,30%,0%,0%,0%,68%,67%,70%,1.35,1.56,1.15,1.29,1.13,1.44,56%,100%,20%,2.5,3,2.1,1.39,2.38,0.6,1.11,1.5,1.5,39%,50%,30%,39%,50%,30%,28%,0%,50%,56%,88%,30%,1.38,1.56,1.23,1.29,1.22,1.34
Independiente Rivadavia,Independiente,Argentina - Campeonato Argentino,"Sáb, 27 Julho 2024",15:00,44%,33%,E V D D V,V D E D D,E D V V E,E D V E E,E V E D E,D E E V D,1.57,1.33,1.75,1,1.25,0.67,43%,33%,50%,0.86,0.67,1,0.57,0.33,0.75,0.29,0.33,0.25,0%,0%,0%,71%,67%,75%,57%,67%,50%,43%,33%,50%,1.13,1.12,1.13,1.21,1.06,1.32,14%,25%,0%,1.86,2.25,1.33,0.71,1,0.33,1.14,1,1,57%,75%,33%,43%,25%,67%,43%,25%,67%,14%,25%,0%,1.17,1.27,1.03,1.2,1.02,1.44
San Lorenzo,Newell's Old Boys,Argentina - Campeonato Argentino,"Sáb, 27 Julho 2024",17:00,44%,33%,V E D D E,E D E D V,V D D E D,E V D D V,E D V V D,V D D D V,0.83,0.67,1,1.43,1.75,1,17%,0%,33%,1.67,1.67,1.67,0.67,0.67,0.67,1,1,1,50%,67%,33%,17%,0%,33%,33%,33%,33%,50%,33%,67%,1.38,1.89,0.87,1.32,1.28,1.35,43%,50%,33%,1.29,1.25,1.33,0.57,0.75,0.33,0.71,1,1,0%,0%,0%,57%,75%,33%,57%,50%,67%,43%,50%,33%,1.46,1.63,1.23,1.12,1.2,1.03
Rosario Central,Huracán,Argentina - Campeonato Argentino,"Sáb, 27 Julho 2024",19:00,44%,33%,V E E V E,V E E E D,E V D D D,E E V V V,E V V V V,E V E E D,1.5,1.67,1.33,2.14,2.5,1.67,33%,33%,33%,3.17,3.33,3,1.83,2,1.67,1.33,1.33,1.33,83%,100%,67%,17%,0%,33%,0%,0%,0%,67%,33%,100%,1.36,1.46,1.26,1.45,0.94,1.95,57%,75%,33%,1.71,1.5,2,1.29,1.25,1.33,0.43,0.67,0.67,43%,25%,67%,57%,75%,33%,14%,25%,0%,71%,75%,67%,1.21,1.2,1.22,1.38,1.22,1.59
Tristán Suárez,CA Guemes,Argentina - 2ª Divisão da Argentina,"Sáb, 27 Julho 2024",15:00,33%,28%,V V D E V,V E V V D,V D D V V,V D E D D,V E D E V,D D D E D,1.25,1.33,1.17,0.96,1.42,0.5,33%,33%,33%,2.33,2.08,2.58,1.08,1,1.17,1.25,1.08,1.42,54%,50%,58%,17%,25%,8%,33%,33%,33%,29%,33%,25%,1.36,1.45,1.28,1.37,1.36,1.38,17%,33%,0%,1.54,1.83,1.25,0.58,0.92,0.25,0.96,1,1,38%,50%,25%,33%,33%,33%,50%,25%,75%,17%,33%,0%,1.37,1.62,1.12,1.3,1.2,1.4
Brown de Adrogué,Chaco For Ever,Argentina - 2ª Divisão da Argentina,"Sáb, 27 Julho 2024",15:00,33%,28%,D D E D E,D E E E E,D D D D D,D D D D D,D D D E V,D D E D D,0.5,0.5,0.5,0.88,1.5,0.25,4%,0%,8%,1.88,1.67,2.08,0.38,0.33,0.42,1.5,1.33,1.67,25%,17%,33%,29%,42%,17%,75%,83%,67%,17%,8%,25%,1.24,1.45,1.04,1.55,1.48,1.61,21%,42%,0%,1.63,1.92,1.33,0.75,1.33,0.17,0.88,1.17,1.17,17%,17%,17%,29%,50%,8%,63%,42%,83%,33%,50%,17%,1.34,1.62,1.04,1.34,1.22,1.47
Nueva Chicago,Deportivo Madryn,Argentina - 2ª Divisão da Argentina,"Sáb, 27 Julho 2024",15:00,33%,28%,V D V E V,D E V V V,V V V E D,D E V D V,D V V E V,E D V E V,1.71,2.33,1.08,1.42,1.58,1.25,50%,75%,25%,1.67,1.83,1.5,1.04,1.33,0.75,0.63,0.5,0.75,21%,17%,25%,54%,67%,42%,46%,25%,67%,50%,67%,33%,1.29,1.38,1.21,1.26,1.12,1.39,38%,42%,33%,1.33,1.25,1.42,0.71,0.75,0.67,0.63,0.75,0.75,17%,8%,25%,58%,67%,50%,50%,50%,50%,42%,50%,33%,1.33,1.45,1.2,1.14,1.04,1.25
Aldosivi,Colón,Argentina - 2ª Divisão da Argentina,"Sáb, 27 Julho 2024",15:00,33%,28%,D V D V V,V V E V E,D D V V V,V D E E D,V E V V V,D E D E D,1.78,1.58,2,1.79,2.5,1.08,48%,33%,64%,1.7,1.42,2,1.09,0.83,1.36,0.61,0.58,0.64,35%,42%,27%,52%,50%,55%,26%,33%,18%,65%,58%,73%,1.56,1.72,1.39,1.54,1.44,1.65,50%,75%,25%,2,2.17,1.83,1.33,1.75,0.92,0.67,0.92,0.92,33%,42%,25%,50%,58%,42%,33%,8%,58%,63%,83%,42%,1.7,1.8,1.61,1.15,0.92,1.39
Arsenal de Sarandí,Quilmes,Argentina - 2ª Divisão da Argentina,"Sáb, 27 Julho 2024",15:00,33%,28%,D E D D V,E D D D V,D D V D E,D V V D D,D V D V E,V D D D E,1.04,1.58,0.5,1.54,1.83,1.25,25%,42%,8%,1.5,1.5,1.5,0.54,0.83,0.25,0.96,0.67,1.25,21%,25%,17%,38%,50%,25%,63%,50%,75%,29%,42%,17%,1.36,1.45,1.26,1.42,1.35,1.49,42%,50%,33%,1.92,1.92,1.92,1.13,1.08,1.17,0.79,0.75,0.75,38%,42%,33%,42%,58%,25%,33%,17%,50%,50%,50%,50%,1.23,1.5,0.96,1.12,1.05,1.19
