home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Rīgas FS,Bodo/Glimt,Europa -  dos Campeões,"Qua, 31 Julho 2024",17:00,40%,55%,D V V,V,D V,V,V,,2,3,1.5,3,3,0,67%,100%,50%,3.67,3,4,2.33,3,2,1.33,0,2,0%,0%,0%,67%,100%,50%,33%,0%,50%,67%,100%,50%,1.42,2.22,1.03,1.35,0.84,1.61,100%,100%,0%,4,4,0,4,4,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,1.18,2.18,0,-0.25,0.75,0
Midtjylland,UE Santa Coloma,Europa -  dos Campeões,"Qua, 31 Julho 2024",17:15,40%,55%,V,,V,D V D,D D,V,3,0,3,1,0,3,100%,0%,100%,3,0,3,3,0,3,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,1.14,0,2.14,0.31,0,1.31,33%,0%,100%,3,3,3,1,0.5,2,2,1,1,67%,50%,100%,0%,0%,0%,33%,50%,0%,67%,50%,100%,1.76,1.37,2.53,1.79,1.73,1.93
Maccabi Tel Aviv,FCSB,Europa -  dos Campeões,"Qua, 31 Julho 2024",18:00,40%,55%,E,,E,E V V,E V,V,1,0,1,2.33,2,3,0%,0%,0%,2,0,2,1,0,1,1,0,1,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,-0.21,0,0.79,0.94,0,1.94,67%,50%,100%,4.67,3,8,4,2.5,7,0.67,1,1,67%,50%,100%,33%,50%,0%,0%,0%,0%,67%,50%,100%,2.22,2.21,2.25,0.68,0.63,0.8
Partizan,Dínamo Kiev,Europa -  dos Campeões,"Qua, 31 Julho 2024",18:00,40%,55%,D,,D,V,V,,0,0,0,3,3,0,0%,0%,0%,8,0,8,2,0,2,6,0,6,100%,0%,100%,0%,0%,0%,0%,0%,0%,100%,0%,100%,-0.21,0,0.79,1.88,0,2.88,100%,100%,0%,8,8,0,6,6,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.88,2.88,0,-0.21,0.79,0
Jagiellonia Białystok,Panevėžys,Europa -  dos Campeões,"Qua, 31 Julho 2024",18:30,40%,55%,V,,V,D E V,D V,E,3,0,3,1.33,1.5,1,100%,0%,100%,4,0,4,4,0,4,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,0.57,0,1.57,-0.13,0,0.87,33%,50%,0%,3,3.5,2,1.33,1.5,1,1.67,1,1,33%,0%,100%,33%,50%,0%,33%,50%,0%,33%,50%,0%,1.1,1.22,0.87,1.71,1.91,1.3
Dinamo Minsk,Ludogorets,Europa -  dos Campeões,"Qua, 31 Julho 2024",18:45,40%,55%,D V E,E,D V,V D V,V V,D,1.33,1,1.5,2,3,0,33%,0%,50%,1,0,1.5,0.33,0,0.5,0.67,0,1,0%,0%,0%,67%,100%,50%,67%,100%,50%,33%,0%,50%,1.49,1.2,1.64,1.01,0.49,1.27,67%,100%,0%,2.33,3,1,1.67,2.5,0,0.67,1,1,33%,50%,0%,33%,50%,0%,33%,0%,100%,67%,100%,0%,1.4,1.37,1.48,1.44,1.18,1.96
Borac Banja Luka,PAOK,Europa -  dos Campeões,"Qua, 31 Julho 2024",19:00,40%,55%,D D V,V,D D,V,V,,1,3,0,3,3,0,33%,100%,0%,3,1,4,1.33,1,1.5,1.67,0,2.5,67%,0%,100%,33%,100%,0%,0%,0%,0%,33%,100%,0%,1.39,1.63,1.27,1.49,0.6,1.94,100%,100%,0%,5,5,0,3,3,0,2,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.85,1.85,0,0.04,1.04,0
Unión Santa Fe,Rosario Central,Argentina - Campeonato Argentino,"Qua, 31 Julho 2024",21:30,44%,32%,D E V V V,V V V D E,D E V E V,D V E E V,D V E E E,E V D D D,2,3,1.25,1.29,1.25,1.33,57%,100%,25%,1.71,2,1.5,1.14,1.67,0.75,0.57,0.33,0.75,43%,33%,50%,57%,67%,50%,14%,0%,25%,57%,67%,50%,1.59,2.16,1.17,1.19,0.98,1.34,29%,25%,33%,2.86,2.75,3,1.57,1.5,1.67,1.29,1.33,1.33,71%,75%,67%,14%,0%,33%,14%,25%,0%,57%,25%,100%,1.28,1.29,1.26,1.4,0.99,1.95
Boca Juniors,Banfield,Argentina - Campeonato Argentino,"Qua, 31 Julho 2024",23:30,44%,32%,E E V D E,V E V V V,E E D V D,E E D V D,E E V E D,D D D V V,1.29,2,1,0.86,1.5,0,29%,50%,20%,1.86,0.5,2.4,1,0.5,1.2,0.86,0,1.2,29%,0%,40%,43%,100%,20%,57%,50%,60%,14%,50%,0%,1.1,1.04,1.12,1.26,1.15,1.31,14%,25%,0%,2.14,2,2.33,0.86,1.25,0.33,1.29,2,2,57%,75%,33%,14%,25%,0%,29%,0%,67%,43%,75%,0%,1.39,1.66,1.03,1.51,1.1,2.05
San Telmo,Aldosivi,Argentina - 2ª Divisão da Argentina,"Qua, 31 Julho 2024",18:00,33%,28%,E E V E V,E E E V D,E V V V E,V D V D V,V V V E V,D D V V V,1.92,2,1.85,1.83,1.69,2,50%,55%,46%,1.75,1.91,1.62,1.29,1.45,1.15,0.46,0.45,0.46,33%,36%,31%,58%,55%,62%,33%,27%,38%,46%,55%,38%,1.3,1.36,1.24,1.39,1.42,1.36,50%,38%,64%,1.67,1.38,2,1.08,0.85,1.36,0.58,0.64,0.64,33%,38%,27%,54%,54%,55%,25%,31%,18%,67%,62%,73%,1.53,1.65,1.39,1.5,1.37,1.65
