home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Almagro,Defensores,Argentina - 2ª Divisão da Argentina,"Sex, 26 Julho 2024",15:00,33%,28%,V V E E D,V E D E E,V E E D D,V E E E D,V E D V D,E E D E V,1.04,1.5,0.58,1.63,1.5,1.75,21%,33%,8%,1.75,1.33,2.17,0.63,0.75,0.5,1.13,0.58,1.67,33%,33%,33%,42%,58%,25%,50%,42%,58%,46%,50%,42%,1.1,1.08,1.12,1.42,1.17,1.65,46%,42%,50%,1.88,1.42,2.33,1.17,0.83,1.5,0.71,0.83,0.83,17%,8%,25%,63%,67%,58%,42%,50%,33%,50%,50%,50%,1.26,1.27,1.24,1.3,1.19,1.4
Temperley,San,Argentina - 2ª Divisão da Argentina,"Sex, 26 Julho 2024",20:45,33%,28%,V E E V V,E V V V D,V E D V E,E V E V E,E E E V D,V V V E E,1.54,1.67,1.42,1.96,2,1.92,38%,42%,33%,1.71,1.92,1.5,1,1.25,0.75,0.71,0.67,0.75,29%,42%,17%,54%,50%,58%,38%,25%,50%,42%,50%,33%,1.38,1.51,1.22,1.33,1.15,1.52,52%,55%,50%,1.83,1.91,1.75,1.35,1.45,1.25,0.48,0.5,0.5,35%,36%,33%,57%,55%,58%,30%,27%,33%,48%,55%,42%,1.34,1.36,1.32,1.43,1.42,1.45
Central,Defensores,Argentina - Primera C,"Sex, 26 Julho 2024",15:00,44%,39%,D V E E E,V E V V V,D E E D V,E D V V E,E V V V D,D E D V V,1.7,2.15,1.29,1.33,1.5,1.15,44%,69%,21%,2.04,2.46,1.64,1.22,1.62,0.86,0.81,0.85,0.79,41%,31%,50%,44%,54%,36%,26%,15%,36%,56%,77%,36%,1.35,1.68,1.08,1.45,1.53,1.38,30%,29%,31%,1.74,1.57,1.92,0.81,0.86,0.77,0.93,1.15,1.15,41%,43%,38%,37%,50%,23%,44%,43%,46%,37%,43%,31%,1.35,1.42,1.29,1.34,1.16,1.54
South,Port,Austrália - Victoria NPL,"Sex, 26 Julho 2024",06:30,55%,63%,D V V D V,D V D V V,V D V V V,V D D D E,V D D V V,D D E E E,2.3,2,2.58,1.43,1.75,1.09,74%,64%,83%,2.78,2.73,2.83,2,1.82,2.17,0.78,0.91,0.67,43%,45%,42%,52%,55%,50%,9%,0%,17%,57%,64%,50%,1.92,1.79,2.03,1.19,1.19,1.2,39%,50%,27%,3.3,3.17,3.45,1.65,1.92,1.36,1.65,2.09,2.09,61%,58%,64%,22%,33%,9%,26%,17%,36%,52%,67%,36%,1.63,1.82,1.45,1.67,1.61,1.74
Dandenong,Manningham,Austrália - Victoria NPL,"Sex, 26 Julho 2024",06:45,55%,63%,V D V V D,D V D V D,V V D V V,D E D V D,E V E E D,D D D D D,1.48,1,1.92,0.65,1,0.27,43%,27%,58%,3.65,4,3.33,1.87,1.82,1.92,1.78,2.18,1.42,70%,73%,67%,17%,9%,25%,17%,18%,17%,43%,27%,58%,1.65,1.72,1.59,1.73,1.76,1.7,17%,25%,9%,4.22,4.58,3.82,1.52,2.17,0.82,2.7,3,3,70%,83%,55%,9%,17%,0%,22%,0%,45%,26%,42%,9%,1.28,1.52,1.02,2.28,2.74,1.79
Heidelberg,Hume,Austrália - Victoria NPL,"Sex, 26 Julho 2024",06:45,55%,63%,V V D E E,V E E V V,V D D D V,V V V E V,V E D E D,V V V D V,1.91,2.27,1.58,2,1.58,2.45,52%,64%,42%,2.57,2.73,2.42,1.74,2.27,1.25,0.83,0.45,1.17,39%,36%,42%,48%,64%,33%,22%,9%,33%,57%,55%,58%,1.46,1.33,1.57,1.28,0.97,1.56,61%,42%,82%,3.09,2.67,3.55,2,1.67,2.36,1.09,1.18,1.18,48%,50%,45%,35%,33%,36%,26%,33%,18%,39%,42%,36%,1.88,1.53,2.29,1.3,1.27,1.33
Manly,Sutherland,Austrália - New South Wales NPL,"Sex, 26 Julho 2024",06:30,59%,67%,D V D D V,D D V V V,V D D D E,E V D D V,E D V E D,V D V E E,1.16,1.62,0.67,0.88,1,0.77,32%,46%,17%,2.64,2.38,2.92,1,1.15,0.83,1.64,1.23,2.08,48%,38%,58%,20%,31%,8%,32%,31%,33%,48%,69%,25%,1.55,1.53,1.57,1.95,1.81,2.11,20%,25%,15%,2.8,2.25,3.31,1.04,0.58,1.46,1.76,1.85,1.85,52%,25%,77%,28%,42%,15%,36%,58%,15%,36%,33%,38%,1.52,1.46,1.58,1.87,1.92,1.82
Sydney,Wollongong,Austrália - New South Wales NPL,"Sex, 26 Julho 2024",06:30,59%,67%,E D V D V,D D V V D,E V V E D,V E D V V,V D E V V,E V V V D,0.88,1,0.75,1.6,1.67,1.54,24%,31%,17%,3.56,3.92,3.17,1.24,1.46,1,2.32,2.46,2.17,60%,69%,50%,20%,15%,25%,32%,23%,42%,24%,23%,25%,1.53,1.54,1.52,1.82,1.9,1.74,48%,50%,46%,3.16,3.42,2.92,1.84,2,1.69,1.32,1.23,1.23,64%,75%,54%,28%,17%,38%,8%,8%,8%,56%,58%,54%,1.96,1.97,1.95,1.72,1.78,1.66
Launceston,Riverside,Austrália - Tasmania NPL,"Sex, 26 Julho 2024",07:15,67%,82%,V V E D D,V V D E D,E D V V D,V V E D D,E V D D V,V V D D D,1.38,1.43,1.33,1,1.17,0.86,38%,43%,33%,3.31,3.71,2.83,1.77,1.86,1.67,1.54,1.86,1.17,62%,71%,50%,31%,14%,50%,15%,14%,17%,38%,29%,50%,1.46,1.49,1.42,1.67,1.58,1.79,31%,33%,29%,5.23,4.33,6,1.69,2,1.43,3.54,4.57,4.57,69%,83%,57%,8%,0%,14%,23%,17%,29%,46%,50%,43%,1.88,2.03,1.78,1.86,1.64,2.02
Club,KV,Bélgica - Campeonato Belga,"Sex, 26 Julho 2024",15:45,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
