home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Cruzeiro,Fortaleza,Brasil - Brasileirão Série A,"Seg, 05 Agosto 2024",21:00,54%,47%,V V D V V,V V V V V,V D V D D,V E V V V,V V V V V,E V D E D,1.84,3,1,1.89,2.45,1.13,58%,100%,27%,2.53,3,2.18,1.47,2.38,0.82,1.05,0.63,1.36,37%,50%,27%,42%,50%,36%,26%,0%,45%,58%,88%,36%,1.38,1.56,1.24,1.34,1.22,1.42,53%,73%,25%,2.21,2.18,2.25,1.26,1.64,0.75,0.95,1.5,1.5,53%,55%,50%,32%,45%,13%,21%,0%,50%,74%,100%,38%,1.25,1.37,1.09,1.56,1.25,1.99
Deportivo Riestra,Central Córdoba,Argentina - Campeonato Argentino,"Seg, 05 Agosto 2024",14:30,43%,32%,D V D V D,V V D V E,D D D D E,D E D D D,D D D D E,E D D D D,1.13,2.25,0,0.13,0,0.25,38%,75%,0%,2,1.75,2.25,0.88,1.25,0.5,1.13,0.5,1.75,25%,0%,50%,38%,75%,0%,38%,25%,50%,50%,75%,25%,1.13,1.39,0.87,1.56,1.09,2.04,0%,0%,0%,3.38,4,2.75,0.88,1,0.75,2.5,2,2,63%,50%,75%,0%,0%,0%,38%,50%,25%,25%,25%,25%,1.15,1.35,0.95,1.51,1.28,1.74
Gimnasia La Plata,Rosario Central,Argentina - Campeonato Argentino,"Seg, 05 Agosto 2024",17:00,43%,32%,D D D V D,D V V V D,D D D E D,D D V E E,D V E E E,D E V D D,1.25,2.25,0.25,1.13,1.25,1,38%,75%,0%,2.75,2.75,2.75,1.38,2,0.75,1.38,0.75,2,63%,50%,75%,13%,25%,0%,25%,25%,25%,63%,75%,50%,1.44,1.76,1.13,1.32,1.4,1.24,25%,25%,25%,2.63,2.75,2.5,1.38,1.5,1.25,1.25,1.25,1.25,63%,75%,50%,13%,0%,25%,25%,25%,25%,50%,25%,75%,1.24,1.29,1.19,1.4,0.99,1.81
Platense,Banfield,Argentina - Campeonato Argentino,"Seg, 05 Agosto 2024",20:00,43%,32%,V D V D V,D V E V D,V V D E D,D E E D V,E E V E D,D D D D V,1.38,1.33,1.4,0.75,1.5,0,38%,33%,40%,2,1,2.6,1,0.33,1.4,1,0.67,1.2,38%,0%,60%,38%,67%,20%,38%,67%,20%,50%,33%,60%,1.25,1.6,1.04,1.43,0.98,1.7,13%,25%,0%,2.25,2,2.5,0.75,1.25,0.25,1.5,2.25,2.25,50%,75%,25%,13%,25%,0%,38%,0%,75%,38%,75%,0%,1.36,1.66,1.07,1.46,1.1,1.82
Ferro Carril Oeste,Agropecuario,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",19:00,33%,28%,D E E V E,E V E D V,D E E V D,E E V V D,E V D V E,E V D D V,1.32,1.42,1.23,1.28,1.08,1.5,32%,33%,31%,2.64,2.33,2.92,1.4,1.33,1.46,1.24,1,1.46,68%,50%,85%,20%,33%,8%,20%,25%,15%,52%,58%,46%,1.32,1.22,1.41,1.23,0.98,1.46,32%,23%,42%,2.44,2,2.92,1.28,0.92,1.67,1.16,1.25,1.25,60%,54%,67%,24%,31%,17%,28%,38%,17%,40%,23%,58%,1.49,1.64,1.32,1.35,1.22,1.51
Atlanta,Gimnasia Mendoza,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",19:00,33%,28%,D E D E E,E E V E V,D D E D D,V V V E V,V V V V V,V E V E V,1.28,1.5,1.08,1.72,2,1.42,32%,33%,31%,1.8,1.42,2.15,0.8,0.83,0.77,1,0.58,1.38,32%,25%,38%,40%,58%,23%,44%,42%,46%,32%,42%,23%,1.44,1.48,1.4,1.29,1.2,1.37,48%,62%,33%,2.32,2.31,2.33,1.32,1.46,1.17,1,1.17,1.17,56%,54%,58%,36%,31%,42%,20%,23%,17%,52%,62%,42%,1.49,1.89,1.07,1.25,1.2,1.32
Estudiantes Río Cuarto,Aldosivi,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",19:10,33%,28%,V D D E V,D V D E V,V D E D V,V V D V D,V V V E V,V D D V V,1.48,1.33,1.62,1.88,1.69,2.08,40%,33%,46%,1.72,1.75,1.69,0.88,0.92,0.85,0.84,0.83,0.85,36%,50%,23%,40%,33%,46%,32%,33%,31%,52%,42%,62%,1.38,1.6,1.17,1.22,1.08,1.35,52%,38%,67%,1.72,1.38,2.08,1.12,0.85,1.42,0.6,0.67,0.67,36%,38%,33%,52%,54%,50%,24%,31%,17%,68%,62%,75%,1.5,1.65,1.35,1.49,1.37,1.62
Atlético Rafaela,Temperley,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",21:00,33%,28%,E D D E D,D E D D D,E D D D D,E V E E V,E E V V V,V E D V E,0.6,0.75,0.46,1.52,1.62,1.42,12%,17%,8%,1.96,2.08,1.85,0.6,0.75,0.46,1.36,1.33,1.38,40%,42%,38%,20%,33%,8%,52%,50%,54%,20%,25%,15%,1.36,1.6,1.13,1.28,1.15,1.4,36%,38%,33%,1.64,1.77,1.5,0.96,1.15,0.75,0.68,0.75,0.75,28%,38%,17%,56%,54%,58%,40%,31%,50%,40%,46%,33%,1.33,1.43,1.22,1.29,1.1,1.52
Quilmes,San Martín San Juan,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",21:05,33%,28%,E D V V D,D V D V E,E V D D D,V E V D V,V V V V V,E D E E V,1.52,1.83,1.23,1.92,2.46,1.33,40%,50%,31%,1.84,1.92,1.77,1.08,1.08,1.08,0.76,0.83,0.69,36%,42%,31%,44%,58%,31%,36%,17%,54%,48%,50%,46%,1.21,1.5,0.94,1.12,1.05,1.19,52%,77%,25%,1.36,1.85,0.83,0.92,1.31,0.5,0.44,0.33,0.33,20%,23%,17%,68%,69%,67%,40%,23%,58%,60%,77%,42%,1.54,1.92,1.14,1.21,1.13,1.3
Colón,CA Mitre,Argentina - 2ª Divisão da Argentina,"Seg, 05 Agosto 2024",21:10,33%,28%,D V D E E,V E V V V,D D E D E,V E V D V,V V V V V,E D E E E,1.72,2.5,1,1.36,2.08,0.58,48%,75%,23%,1.96,2.17,1.77,1.28,1.75,0.85,0.68,0.42,0.92,32%,42%,23%,48%,58%,38%,36%,8%,62%,60%,83%,38%,1.66,1.8,1.52,1.13,0.92,1.33,32%,62%,0%,1.12,1.46,0.75,0.6,1.08,0.08,0.52,0.67,0.67,12%,15%,8%,60%,69%,50%,60%,31%,92%,32%,54%,8%,1.34,1.53,1.14,1.33,1.13,1.56
Fénix,Comunicaciones,Argentina - Prim B Metro,"Seg, 05 Agosto 2024",15:00,42%,34%,E D V E E,D V E D V,E E V V V,E V V E V,E V V D D,V E E D D,1.39,1.14,1.64,1.32,1.57,1.07,29%,21%,36%,1.75,1.71,1.79,0.96,0.79,1.14,0.79,0.93,0.64,46%,50%,43%,43%,36%,50%,32%,36%,29%,43%,29%,57%,1.28,1.27,1.3,1.46,1.42,1.51,32%,43%,21%,2.11,2.21,2,1.18,1.43,0.93,0.93,1.07,1.07,54%,43%,64%,32%,43%,21%,29%,29%,29%,46%,57%,36%,1.31,1.38,1.24,1.31,1.26,1.35
Deportivo Paraguayo,Deportivo Muñiz,Argentina - Primera C,"Seg, 05 Agosto 2024",15:00,44%,39%,D E D D E,E D E D D,D D V D D,E D V D D,E V V V D,D D D V D,0.75,0.57,0.93,1.25,1.57,0.93,18%,7%,29%,1.82,1.71,1.93,0.5,0.36,0.64,1.32,1.36,1.29,29%,21%,36%,21%,21%,21%,57%,71%,43%,21%,21%,21%,1.24,1.32,1.16,1.63,1.54,1.71,36%,50%,21%,3.04,3.07,3,1.39,1.71,1.07,1.64,1.93,1.93,57%,79%,36%,18%,14%,21%,29%,7%,50%,43%,57%,29%,1.48,1.66,1.31,1.57,1.56,1.59
Atlas,Lugano,Argentina - Primera C,"Seg, 05 Agosto 2024",15:00,44%,39%,E V D V E,V V E V V,E D D V D,D D E D E,D E D D E,D D E E D,1.54,1.86,1.21,0.57,0.64,0.5,43%,50%,36%,2.86,2.71,3,1.5,1.71,1.29,1.36,1,1.71,57%,50%,64%,29%,36%,21%,18%,14%,21%,57%,64%,50%,1.35,1.45,1.25,1.53,1.4,1.66,11%,14%,7%,2.11,1.93,2.29,0.57,0.5,0.64,1.54,1.64,1.64,43%,36%,50%,21%,29%,14%,50%,57%,43%,21%,29%,14%,1.25,1.25,1.24,1.41,1.35,1.46
San Lorenzo Feminino,Belgrano Feminino,Argentina - Campeonato Argentino Feminino,"Seg, 05 Agosto 2024",15:00,39%,44%,V D D E D,D E D D V,V D D D V,D V V V E,V V E V E,D V E V E,1.41,1.25,1.56,1.88,2.22,1.5,41%,38%,44%,2.53,2,3,1.35,0.88,1.78,1.18,1.13,1.22,47%,50%,44%,41%,38%,44%,24%,25%,22%,41%,38%,44%,1.57,1.79,1.36,1.24,1.24,1.24,53%,67%,38%,2.29,2.67,1.88,1.59,2.11,1,0.71,0.88,0.88,29%,33%,25%,65%,67%,63%,24%,11%,38%,65%,78%,50%,1.87,1.91,1.83,1.08,1.16,1.01
San Luis Feminino,Huracán Feminino,Argentina - Campeonato Argentino Feminino,"Seg, 05 Agosto 2024",15:00,39%,44%,E V E E V,E E V E E,V E V E V,D E D V D,D D D D D,E V D D D,1.65,1.38,1.89,0.59,0.33,0.88,41%,25%,56%,2.47,2.75,2.22,1.47,1.63,1.33,1,1.13,0.89,59%,75%,44%,41%,25%,56%,12%,13%,11%,59%,38%,78%,1.42,1.21,1.57,1.55,1.31,1.73,18%,11%,25%,2.12,1.89,2.38,0.65,0.44,0.88,1.47,1.5,1.5,18%,22%,13%,18%,11%,25%,65%,67%,63%,24%,22%,25%,1.08,1.22,0.89,1.16,1.28,1.02
Noah,Gandzasar,Armênia - Campeonato da Armênia,"Seg, 05 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Pyunik,Banants,Armênia - Campeonato da Armênia,"Seg, 05 Agosto 2024",12:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Orsha,Torpedo BelAZ II,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",11:00,54%,53%,D V V V E,V V E V E,D V V E E,D D D D E,D D E D V,D D D D D,1.47,1.88,1.11,0.71,0.67,0.75,35%,50%,22%,2.59,3,2.22,1.24,1.88,0.67,1.35,1.13,1.56,47%,50%,44%,35%,50%,22%,24%,0%,44%,53%,100%,11%,1.35,1.29,1.42,1.62,1.59,1.66,18%,11%,25%,3.76,3.33,4.25,1.18,1,1.38,2.59,2.88,2.88,65%,78%,50%,12%,0%,25%,24%,22%,25%,47%,56%,38%,0.96,0.99,0.94,1.99,1.9,2.07
Niva,Dinamo Minsk II,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",11:30,54%,53%,V D V E E,V V E V V,D E V V E,V V D D V,V D V D V,V D V D E,2.06,1.88,2.22,1.53,1.44,1.63,59%,50%,67%,3.47,3,3.89,2.35,2.13,2.56,1.12,0.88,1.33,65%,50%,78%,24%,38%,11%,24%,38%,11%,41%,50%,33%,1.83,1.97,1.73,1.41,1.48,1.36,47%,44%,50%,2.53,2.67,2.38,1.41,1.56,1.25,1.12,1.13,1.13,53%,44%,63%,35%,44%,25%,18%,22%,13%,59%,67%,50%,1.69,2.03,1.19,1.53,1.62,1.4
MKK-Dnepr,Lokomotiv Gomel,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",12:00,54%,53%,V V D D V,V V D V E,D V D D V,D V D E V,D V E E E,D V E D D,1.69,1.75,1.63,1,1.25,0.75,50%,50%,50%,2.88,2.25,3.5,1.81,1.5,2.13,1.06,0.75,1.38,56%,50%,63%,31%,38%,25%,13%,13%,13%,50%,50%,50%,1.71,1.49,1.92,1.14,0.78,1.5,19%,25%,13%,2.5,2.88,2.13,1.13,1.38,0.88,1.38,1.25,1.25,69%,75%,63%,6%,0%,13%,31%,25%,38%,38%,25%,50%,1.89,2.08,1.75,1.96,1.89,2
Baranovichi,BATE II,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",12:00,54%,53%,D D D E V,D D D V V,D E V D D,D V D V D,V V V E E,D D D D E,0.88,1.25,0.56,1.65,2.25,1.11,24%,38%,11%,2.29,2.38,2.22,0.59,0.88,0.33,1.71,1.5,1.89,35%,50%,22%,18%,13%,22%,65%,50%,78%,24%,25%,22%,1.07,1.22,0.88,1.61,1.49,1.74,47%,63%,33%,2.71,2.75,2.67,1.53,1.88,1.22,1.18,1.44,1.44,65%,63%,67%,24%,38%,11%,18%,13%,22%,29%,25%,33%,1.69,1.8,1.56,1.65,1.38,1.97
Belshina,Slonim,Bielorrúsia - 2ª Divisão da Bielorrúsia,"Seg, 05 Agosto 2024",12:00,54%,53%,V V V V V,V V V E V,V V D E V,D E D D E,E D E V D,D D D E D,2.19,2.38,2,0.65,0.56,0.75,69%,75%,63%,3.5,3.13,3.88,2.31,2.38,2.25,1.19,0.75,1.63,50%,50%,50%,44%,50%,38%,6%,0%,13%,75%,100%,50%,2,2.07,1.93,1.16,1.1,1.22,12%,11%,13%,2.76,3.56,1.88,1,1.33,0.63,1.76,1.25,1.25,53%,78%,25%,24%,11%,38%,41%,11%,75%,12%,22%,0%,1.45,1.7,1.23,1.77,1.63,1.9
