home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Barracas Central,Atlético Tucumán,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",15:00,44%,32%,E D D D D,D D E V V,E D D V D,V E E E E,V E E V V,E E D D E,0.71,0.33,1,1.43,2,0.67,14%,0%,25%,1.57,1.67,1.5,0.43,0.33,0.5,1.14,1.33,1,29%,33%,25%,29%,0%,50%,57%,67%,50%,29%,33%,25%,1.29,1.37,1.23,1.81,1.56,2.01,29%,50%,0%,1.71,1.5,2,0.86,1,0.67,0.86,1.33,1.33,57%,50%,67%,29%,50%,0%,14%,0%,33%,57%,75%,33%,1.5,1.63,1.34,1.36,1.24,1.52
Defensa y Justicia,Platense,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",16:30,44%,32%,E E E E D,E E E V V,E E D D E,D V D V E,D V E V D,V D E D V,0.71,1,0.5,1.14,1.33,1,0%,0%,0%,2.14,2,2.25,0.86,1,0.75,1.29,1,1.5,71%,67%,75%,14%,33%,0%,29%,33%,25%,29%,33%,25%,1.32,1.26,1.37,1.33,1.18,1.44,29%,33%,25%,1.71,1,2.25,0.71,0.33,1,1,1.25,1.25,29%,0%,50%,43%,67%,25%,43%,67%,25%,43%,33%,50%,1.22,1.6,0.95,1.39,0.98,1.69
Central Córdoba,Vélez Sarsfield,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",18:45,44%,32%,E D D D D,D D D E D,E D D D D,V V D E E,V E V E V,V D E D E,0.14,0,0.25,1.57,2.33,1,0%,0%,0%,3.57,4.67,2.75,1,1.33,0.75,2.57,3.33,2,71%,67%,75%,0%,0%,0%,29%,33%,25%,29%,33%,25%,1.03,1.12,0.95,1.6,1.42,1.74,43%,67%,25%,2.14,2,2.25,1.29,1.67,1,0.86,1.25,1.25,43%,33%,50%,43%,67%,25%,14%,0%,25%,57%,67%,50%,1.17,1.28,1.1,1.2,1.19,1.22
Tigre,Deportivo Riestra,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",18:45,44%,32%,E V E D D,E E D D D,V D E D D,V D V D D,V V D V E,D D D E D,0.86,0.5,1.33,1.29,2.25,0,14%,0%,33%,2.43,2.25,2.67,0.86,0.5,1.33,1.57,1.75,1.33,57%,50%,67%,14%,0%,33%,29%,50%,0%,57%,50%,67%,1.16,1.27,1.02,1.48,1.41,1.58,43%,75%,0%,1.86,1.75,2,0.86,1.25,0.33,1,1.67,1.67,14%,0%,33%,43%,75%,0%,43%,25%,67%,43%,75%,0%,1.14,1.39,0.81,1.45,1.09,1.92
Belgrano,Godoy Cruz,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",21:00,44%,32%,D V E V V,V V V E D,D E D V V,V D E E E,V E D D V,D E E D V,1.57,2.5,0.33,1,1.33,0.67,43%,75%,0%,3.57,3.75,3.33,1.71,2.25,1,1.86,1.5,2.33,71%,75%,67%,14%,25%,0%,14%,0%,33%,43%,75%,0%,1.26,1.31,1.18,1.62,1.41,1.9,17%,33%,0%,1.83,2,1.67,0.67,1,0.33,1.17,1.33,1.33,50%,67%,33%,17%,0%,33%,50%,33%,67%,17%,0%,33%,1.24,1.49,0.99,1.35,1.2,1.5
Argentinos Juniors,Lanús,Argentina - Campeonato Argentino,"Seg, 29 Julho 2024",21:00,44%,32%,D D V D V,D V V V E,D D D E V,V E V E V,V V V D D,E E E D V,1.29,2.25,0,1.71,2.25,1,43%,75%,0%,2.43,2.75,2,0.86,1.5,0,1.57,1.25,2,29%,50%,0%,14%,25%,0%,57%,25%,100%,29%,50%,0%,1.53,1.76,1.22,1.2,0.97,1.51,43%,75%,0%,2.86,3,2.67,1.57,1.75,1.33,1.29,1.33,1.33,71%,50%,100%,14%,25%,0%,14%,25%,0%,86%,75%,100%,1.51,1.62,1.37,1.59,1.28,2
Comunicaciones,Midland,Argentina - Prim B Metro,"Seg, 29 Julho 2024",15:00,42%,34%,V V E V E,V V D D V,V E E D D,D V E V E,D E V V V,V E E E E,1.33,1.62,1.07,1.67,1.86,1.46,33%,46%,21%,2.19,2.38,2,1.22,1.54,0.93,0.96,0.85,1.07,56%,46%,64%,30%,38%,21%,26%,23%,29%,48%,62%,36%,1.29,1.35,1.24,1.32,1.28,1.35,44%,57%,31%,2.07,2.14,2,1.26,1.43,1.08,0.81,0.92,0.92,44%,29%,62%,41%,50%,31%,30%,36%,23%,59%,64%,54%,1.45,1.59,1.3,1.27,1.21,1.33
Argentino Merlo,Cañuelas,Argentina - Prim B Metro,"Seg, 29 Julho 2024",21:10,42%,34%,E V V E V,V E V V D,E V V D V,E D E E D,E E D D D,D E D D E,1.44,1.62,1.29,0.93,1.07,0.77,37%,46%,29%,2.07,2.92,1.29,1.15,1.69,0.64,0.93,1.23,0.64,41%,54%,29%,41%,31%,50%,37%,23%,50%,44%,46%,43%,1.3,1.36,1.24,1.52,1.34,1.68,22%,29%,15%,2.11,1.79,2.46,0.78,0.71,0.85,1.33,1.62,1.62,48%,43%,54%,19%,21%,15%,48%,50%,46%,26%,29%,23%,1.41,1.53,1.28,1.32,1.25,1.4
Paysandu,Novorizontino,Brasil - Brasileirão Série B,"Seg, 29 Julho 2024",18:30,44%,33%,D V V E E,V V E E V,D E V V D,E V E V E,V E E E V,E V V D E,1.35,1.75,1,1.59,1.63,1.56,29%,38%,22%,2.12,1.75,2.44,1.12,1.13,1.11,1,0.63,1.33,59%,63%,56%,24%,38%,11%,29%,13%,44%,53%,88%,22%,1.39,1.36,1.42,1.35,1.33,1.37,41%,38%,44%,1.88,2.13,1.67,1,1.13,0.89,0.88,0.78,0.78,47%,63%,33%,35%,25%,44%,35%,25%,44%,47%,50%,44%,1.37,1.53,1.22,1.33,1.39,1.27
Ferroviária,Londrina,Brasil - Brasileirão Série C,"Seg, 29 Julho 2024",20:00,49%,43%,E V V V E,V V E V V,E V E E E,V D V E E,V E E V E,D V V D V,2,2.33,1.75,1.64,1.63,1.67,50%,67%,38%,1.43,1.67,1.25,1.07,1.17,1,0.36,0.5,0.25,36%,50%,25%,64%,50%,75%,36%,17%,50%,50%,67%,38%,1.44,1.57,1.34,1.26,1.19,1.32,43%,38%,50%,2.64,3,2.17,1.5,1.63,1.33,1.14,0.83,0.83,50%,50%,50%,36%,38%,33%,14%,13%,17%,43%,38%,50%,1.62,1.79,1.39,1.18,1.26,1.06
