home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Qarabağ,Lincoln Red Imps,Europa -  dos Campeões,"Ter, 30 Julho 2024",13:00,40%,55%,V,,V,D D V,D D,V,3,0,3,1,0,3,100%,0%,100%,2,0,2,2,0,2,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,0.96,0,1.96,-0.29,0,0.71,33%,0%,100%,1.33,1.5,1,0.33,0,1,1,0,0,0%,0%,0%,33%,0%,100%,67%,100%,0%,33%,0%,100%,1.07,1.11,1,1.94,2.13,1.56
Petrocub,APOEL,Europa -  dos Campeões,"Ter, 30 Julho 2024",14:00,40%,55%,D V E,V,D E,V,V,,1.33,3,0.5,3,3,0,33%,100%,0%,0.67,1,0.5,0.33,1,0,0.33,0,0.5,0%,0%,0%,67%,100%,50%,67%,0%,100%,33%,100%,0%,1.28,1.13,1.37,1.35,1.79,1.13,100%,100%,0%,1,1,0,1,1,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0.08,1.08,0,0.43,1.43,0
Sparta Praga,Shamrock Rovers,Europa -  dos Campeões,"Ter, 30 Julho 2024",14:00,40%,55%,V,,V,D V E,D V,E,3,0,3,1.33,1.5,1,100%,0%,100%,2,0,2,2,0,2,0,0,0,0%,0%,0%,100%,0%,100%,0%,0%,0%,100%,0%,100%,1.87,0,2.87,0,0,1,33%,50%,0%,1.67,2.5,0,0.67,1,0,1,0,0,33%,50%,0%,33%,0%,100%,67%,50%,100%,33%,50%,0%,0.84,0.98,0.57,2.11,2.16,2.03
Fenerbahce,Lugano,Europa -  dos Campeões,"Ter, 30 Julho 2024",14:00,40%,55%,V,,V,D,D,,3,0,3,0,0,0,100%,0%,100%,7,0,7,4,0,4,3,0,3,100%,0%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.57,0,1.57,0.34,0,1.34,0%,0%,0%,7,7,0,3,3,0,4,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.34,1.34,0,0.57,1.57,0
The New Saints,Ferencváros,Europa -  dos Campeões,"Ter, 30 Julho 2024",15:00,40%,55%,D E V,V,D E,V,V,,1.33,3,0.5,3,3,0,33%,100%,0%,3.33,3,3.5,1.33,3,0.5,2,0,3,33%,0%,50%,33%,100%,0%,33%,0%,50%,67%,100%,50%,0.45,0,0.95,1.16,0,1.66,100%,100%,0%,5,5,0,5,5,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,0.65,1.65,0,-0.31,0.69,0
Slovan Bratislava,Celje,Europa -  dos Campeões,"Ter, 30 Julho 2024",15:30,40%,55%,E V V,V,E V,E V V,E V,V,2.33,3,2,2.33,2,3,67%,100%,50%,3.67,6,2.5,2.33,4,1.5,1.33,2,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,67%,100%,50%,1.24,1.56,1.09,2.08,1.48,2.38,67%,50%,100%,3.33,2.5,5,2.67,1.5,5,0.67,0,0,67%,100%,0%,33%,0%,100%,0%,0%,0%,67%,50%,100%,2.32,2.66,1.64,0.79,1.02,0.34
KÍ,Malmö FF,Europa -  dos Campeões,"Ter, 30 Julho 2024",15:45,40%,55%,D E V,V,D E,V,V,,1.33,3,0.5,3,3,0,33%,100%,0%,2.33,2,2.5,1,2,0.5,1.33,0,2,33%,0%,50%,67%,100%,50%,33%,0%,50%,33%,100%,0%,0.88,1.21,0.72,2.24,2.57,2.07,100%,100%,0%,5,5,0,4,4,0,1,0,0,100%,100%,0%,0%,0%,0%,0%,0%,0%,100%,100%,0%,0.9,1.9,0,-0.37,0.63,0
Racing Club Res.,San Lorenzo Res.,Argentina -  de Reservas,"Ter, 30 Julho 2024",15:00,44%,38%,V D D V E,V D E E D,D V D D E,V E E D V,V E V E D,E D E E E,1.38,1.38,1.38,1.25,1.5,1,38%,38%,38%,2.19,2.13,2.25,1.13,1.13,1.13,1.06,1,1.13,50%,38%,63%,38%,50%,25%,25%,38%,13%,44%,38%,50%,1.44,1.27,1.62,1.35,1.38,1.32,25%,38%,13%,2.13,1.75,2.5,1.06,1,1.13,1.06,1.38,1.38,63%,50%,75%,19%,25%,13%,19%,25%,13%,50%,50%,50%,1.41,1.47,1.34,1.4,1.31,1.5
Platense Res.,Talleres Córdoba Res.,Argentina -  de Reservas,"Ter, 30 Julho 2024",15:00,44%,38%,E D D E V,D E V D E,E D V D D,E D V E D,E V E V V,D D V D V,0.6,0.71,0.5,1.53,1.89,1.13,13%,14%,13%,2.73,2.57,2.88,0.8,0.71,0.88,1.93,1.86,2,60%,57%,63%,13%,14%,13%,33%,43%,25%,20%,29%,13%,1.14,1.27,1.03,1.52,1.71,1.35,41%,44%,38%,2.18,2.33,2,1.24,1.56,0.88,0.94,1.13,1.13,41%,56%,25%,41%,44%,38%,24%,11%,38%,53%,56%,50%,1.64,1.84,1.4,1.15,1.05,1.25
Barracas Central Res.,Deportivo Riestra Res.,Argentina -  de Reservas,"Ter, 30 Julho 2024",15:00,44%,38%,D E D E E,E E D V D,D D E D E,D E E D D,E D V D D,D E D E D,0.6,0.86,0.38,1.07,1.14,1,7%,14%,0%,2.67,2.14,3.13,0.53,0.57,0.5,2.13,1.57,2.63,47%,43%,50%,7%,14%,0%,47%,43%,50%,13%,29%,0%,1.23,1.39,1.09,1.86,1.77,1.94,27%,29%,25%,2.27,2.14,2.38,0.87,0.71,1,1.4,1.38,1.38,40%,43%,38%,33%,43%,25%,47%,43%,50%,40%,43%,38%,1.22,1.14,1.28,1.78,1.63,1.92
