home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Mačva Šabac,Dubočica,Sérvia - 2ª Divisão da Sérvia,"Sáb, 03 Agosto 2024",14:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Voždovac,Inđija,Sérvia - 2ª Divisão da Sérvia,"Sáb, 03 Agosto 2024",15:00,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
GAIS,Norrköping,Suécia - Campeonato Sueco,"Sáb, 03 Agosto 2024",10:00,52%,62%,V V D E D,V E V V V,V D D D D,V V D D D,V V D D D,D D D E D,1.75,2.38,1.13,1.06,1.5,0.63,56%,75%,38%,2.5,2.5,2.5,1.25,1.63,0.88,1.25,0.88,1.63,38%,38%,38%,31%,50%,13%,38%,25%,50%,56%,75%,38%,1.47,1.47,1.47,1.5,1.53,1.47,31%,50%,13%,3.56,3.38,3.75,1.25,1.38,1.13,2.31,2.63,2.63,69%,50%,88%,19%,38%,0%,13%,13%,13%,38%,38%,38%,1.26,1.34,1.18,1.63,1.45,1.82
Västerås SK,AIK,Suécia - Campeonato Sueco,"Sáb, 03 Agosto 2024",10:00,52%,62%,D E V D V,V D E D D,D E V E D,D D V D D,D D V D V,D V D D D,0.75,0.88,0.63,1.25,1.88,0.63,19%,25%,13%,2.13,2.13,2.13,0.75,0.75,0.75,1.38,1.38,1.38,38%,50%,25%,13%,0%,25%,56%,50%,63%,25%,38%,13%,1.67,1.71,1.63,1.37,1.26,1.47,38%,63%,13%,3.69,3.5,3.88,1.63,2.25,1,2.06,2.88,2.88,63%,50%,75%,19%,38%,0%,19%,13%,25%,38%,50%,25%,1.57,1.74,1.4,1.35,1.25,1.46
Brommapojkarna,Halmstad,Suécia - Campeonato Sueco,"Sáb, 03 Agosto 2024",12:30,52%,62%,V D V D E,D E V D D,V V D E E,V D D D V,V D V V D,D D D D D,1.31,0.86,1.67,1.31,1.88,0.75,31%,14%,44%,3.31,3.29,3.33,1.5,1,1.89,1.81,2.29,1.44,56%,57%,56%,19%,0%,33%,25%,43%,11%,38%,43%,33%,1.56,1.46,1.64,1.57,1.77,1.41,44%,63%,25%,2.94,2.63,3.25,1.25,1.63,0.88,1.69,2.38,2.38,38%,38%,38%,31%,50%,13%,31%,13%,50%,44%,63%,25%,1.01,1.03,0.99,1.82,1.81,1.83
Degerfors,Oddevold,Suécia - 2ª Divisão da Suécia,"Sáb, 03 Agosto 2024",10:00,55%,48%,V D V E V,V V V E V,D E V V D,D D V E D,D E D E V,D V D E D,1.81,2.38,1.25,1.06,1.29,0.89,50%,75%,25%,2.88,3.38,2.38,1.81,2.38,1.25,1.06,1,1.13,75%,75%,75%,25%,25%,25%,0%,0%,0%,56%,63%,50%,1.72,2.21,1.29,1.34,1.44,1.25,25%,29%,22%,2.69,2,3.22,1.06,0.86,1.22,1.63,2,2,63%,57%,67%,19%,29%,11%,31%,29%,33%,25%,29%,22%,1.36,1.53,1.23,1.17,1.16,1.19
Varberg,Helsingborg,Suécia - 2ª Divisão da Suécia,"Sáb, 03 Agosto 2024",12:00,55%,48%,D E D V V,E V E V D,D D V E D,V V V D V,V V V D D,V D V E V,1,1.38,0.63,1.63,1.44,1.86,25%,38%,13%,2.75,3.25,2.25,1.19,1.63,0.75,1.56,1.63,1.5,69%,75%,63%,13%,13%,13%,19%,13%,25%,38%,38%,38%,1.24,1.09,1.4,1.62,1.41,1.85,44%,33%,57%,2.31,1.89,2.86,1.25,1,1.57,1.06,1.29,1.29,44%,44%,43%,38%,33%,43%,31%,33%,29%,50%,56%,43%,1.48,1.55,1.39,1.47,1.44,1.5
Sandviken,Gefle,Suécia - 2ª Divisão da Suécia,"Sáb, 03 Agosto 2024",12:00,55%,48%,D D D V V,D V V V D,D D V V E,V E E D D,E D V V V,V E D D D,1.5,2.14,1,1.13,1.5,0.75,44%,71%,22%,2.69,2.57,2.78,1.38,1.71,1.11,1.31,0.86,1.67,50%,57%,44%,31%,29%,33%,25%,14%,33%,56%,71%,44%,1.42,1.42,1.42,1.44,1.4,1.48,25%,38%,13%,3.31,3.38,3.25,1.63,1.88,1.38,1.69,1.88,1.88,63%,75%,50%,31%,25%,38%,19%,0%,38%,56%,75%,38%,1.28,1.27,1.29,1.65,1.51,1.78
Grasshopper,Basel,Suíça - Campeonato Suíço,"Sáb, 03 Agosto 2024",13:00,69%,85%,E D,E,D,D D,D,D,0.5,1,0,0,0,0,0%,0%,0%,3.5,4,3,1.5,2,1,2,2,2,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,0%,100%,1.25,1.44,1.06,1.85,1.59,2.11,0%,0%,0%,4,3,5,1.5,1,2,2.5,3,3,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1.69,2.04,1.34,1.27,1.08,1.45
Lugano,Servette,Suíça - Campeonato Suíço,"Sáb, 03 Agosto 2024",13:00,69%,85%,V V,V,V,V V V,V V,V,3,3,3,3,3,3,100%,100%,100%,3,3,3,2,2,2,1,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,50%,0%,100%,1.6,2.11,1.08,1.55,1.06,2.04,100%,100%,100%,4,4.5,3,2.67,3,2,1.33,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,1.67,1.85,1.31,1.52,1.71,1.15
