home,away,liga,data,hora,btts,over 2.5,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Cruzeiro,Juventude,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",19:00,54%,47%,D V V V D,V V V V V,D V D D D,E E V D D,E E V V V,D D D D E,1.71,3,0.8,1.31,2.11,0.29,53%,100%,20%,2.53,3.14,2.1,1.35,2.43,0.6,1.18,0.71,1.5,41%,57%,30%,35%,43%,30%,29%,0%,50%,53%,86%,30%,1.38,1.59,1.23,1.32,1.29,1.34,31%,56%,0%,2.44,1.89,3.14,1.19,1.44,0.86,1.25,2.29,2.29,63%,44%,86%,31%,56%,0%,13%,11%,14%,38%,67%,0%,1.32,1.33,1.31,1.51,1.4,1.66
Criciúma,Fortaleza,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",19:00,54%,47%,D D E D V,E V E V E,D D D D V,V V V V D,V V V V V,V D E D D,1.06,1.25,0.88,1.88,2.4,1.14,25%,25%,25%,3.06,3,3.13,1.44,1.38,1.5,1.63,1.63,1.63,88%,88%,88%,13%,13%,13%,0%,0%,0%,56%,63%,50%,1.4,1.5,1.3,1.65,1.73,1.58,53%,70%,29%,2.29,2.3,2.29,1.29,1.7,0.71,1,1.57,1.57,53%,60%,43%,29%,40%,14%,24%,0%,57%,76%,100%,43%,1.24,1.39,1.02,1.59,1.3,2.02
São,Botafogo,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",19:30,54%,47%,E V D V V,V V V V D,E D V D E,V V V V V,V V V V E,V V E D V,1.72,2.11,1.33,2.17,2.44,1.89,50%,67%,33%,2.44,2.11,2.78,1.44,1.44,1.44,1,0.67,1.33,56%,44%,67%,39%,44%,33%,22%,22%,22%,56%,56%,56%,1.41,1.48,1.33,1.2,1.13,1.26,67%,78%,56%,2.39,2.33,2.44,1.61,1.78,1.44,0.78,1,1,56%,44%,67%,44%,56%,33%,0%,0%,0%,72%,67%,78%,1.35,1.56,1.13,1.28,1.13,1.42
Vitória,Flamengo,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",20:00,54%,47%,D D D V D,D V D V V,D D D V D,V D E V V,V D E V V,V D V E V,0.83,1.11,0.56,2,2.11,1.88,22%,33%,11%,2.72,2.78,2.67,1.06,1.22,0.89,1.67,1.56,1.78,61%,56%,67%,11%,0%,22%,33%,44%,22%,33%,44%,22%,1.24,1.23,1.25,1.47,1.52,1.42,59%,67%,50%,2.82,2.67,3,1.76,1.56,2,1.06,1,1,76%,78%,75%,18%,11%,25%,12%,11%,13%,53%,56%,50%,1.67,1.68,1.66,1.11,1.12,1.09
Atlético-GO,Bahia,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",21:30,54%,47%,D D D D D,D D E D E,D D D E E,D D V D V,D D V V V,V D D D E,0.61,0.25,0.9,1.67,2.33,1,11%,0%,20%,2.39,2.5,2.3,0.83,0.75,0.9,1.56,1.75,1.4,61%,63%,60%,11%,0%,20%,33%,38%,30%,33%,38%,30%,1.43,1.48,1.4,1.42,1.42,1.42,50%,78%,22%,2.72,2.22,3.22,1.5,1.56,1.44,1.22,1.78,1.78,67%,44%,89%,22%,44%,0%,11%,11%,11%,44%,56%,33%,1.47,1.62,1.32,1.4,1.08,1.71
Fluminense,Palmeiras,Brasil - Brasileirão Série A,"Qua, 24 Julho 2024",21:30,54%,47%,V E D E D,E D D D E,V E D D D,V D V V E,V V V V V,D E D V V,0.65,0.88,0.44,2,2.2,1.75,12%,13%,11%,2.18,2.5,1.89,0.76,1.13,0.44,1.41,1.38,1.44,53%,75%,33%,6%,0%,11%,41%,25%,56%,47%,63%,33%,1.3,1.44,1.18,1.6,1.54,1.66,61%,70%,50%,2.22,2.2,2.25,1.5,1.6,1.38,0.72,0.88,0.88,28%,30%,25%,50%,50%,50%,33%,30%,38%,61%,70%,50%,1.76,1.83,1.67,1.2,1.17,1.23
PAOK,Borac,Europa -  dos Campeões,"Qua, 24 Julho 2024",14:30,39%,54%,,,,D V,V,D,0,0,0,1.5,3,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,50%,100%,0%,2,1,3,1,1,1,1,2,2,50%,0%,100%,50%,100%,0%,0%,0%,0%,50%,100%,0%,1.56,1.63,1.49,1.31,0.6,2.02
Ludogorets,Dinamo,Europa -  dos Campeões,"Qua, 24 Julho 2024",15:00,39%,54%,D V,V,D,V E,E,V,1.5,3,0,2,1,3,50%,100%,0%,2.5,4,1,1.5,3,0,1,1,1,50%,100%,0%,0%,0%,0%,50%,0%,100%,50%,100%,0%,1.4,1.31,1.48,1.42,0.88,1.96,50%,0%,100%,0.5,0,1,0.5,0,1,0,0,0,0%,0%,0%,100%,100%,100%,50%,100%,0%,50%,0%,100%,1.5,1.2,1.81,0.8,0.49,1.12
Celje,Slovan,Europa -  dos Campeões,"Qua, 24 Julho 2024",15:15,39%,54%,V V,V,V,V V,V,V,3,3,3,3,3,3,100%,100%,100%,4,3,5,3.5,2,5,0.5,1,0,50%,100%,0%,50%,0%,100%,0%,0%,0%,50%,0%,100%,2.04,2.43,1.64,0.72,1.1,0.34,100%,100%,100%,4.5,6,3,3,4,2,1.5,1,1,100%,100%,100%,0%,0%,0%,0%,0%,0%,100%,100%,100%,1.4,1.56,1.24,1.68,1.48,1.87
Universidad,Libertad,América do Sul - Sul-Americana,"Qua, 24 Julho 2024",19:00,39%,43%,D D E V V,E V E,D D V V V,V,V,,1.75,1.67,1.8,3,3,0,50%,33%,60%,1.88,1.33,2.2,1.38,1.33,1.4,0.5,0,0.8,13%,0%,20%,63%,100%,40%,50%,67%,40%,38%,33%,40%,1.41,1.66,1.22,1.41,0.9,1.79,100%,100%,0%,2,2,0,2,2,0,0,0,0,0%,0%,0%,100%,100%,0%,0%,0%,0%,100%,100%,0%,1.22,2.22,0,-0.06,0.94,0
