home,away,liga,data,hora,btts_liga,over_2.5_liga,home_geral,home_casa,home_fora,away_geral,away_casa,away_fora,home_ppj_geral,home_ppj_casa,home_ppj_fora,away_ppj_geral,away_ppj_casa,away_ppj_fora,vitoria_home_geral,vitoria_home_casa,vitoria_home_fora,gols_home_geral,gols_home_casa,gols_home_fora,marcados_home_geral,marcados_home_casa,marcados_home_fora,sofridos_home_geral,sofridos_home_casa,sofridos_home_fora,ambas_marcam_home_geral,ambas_marcam_home_casa,ambas_marcam_home_fora,sem_sofrer_home_geral,sem_sofrer_home_casa,sem_sofrer_home_fora,sem_marcar_home_geral,sem_marcar_home_casa,sem_marcar_home_fora,primeiro_marcar_home_geral,primeiro_marcar_home_casa,primeiro_marcar_home_fora,xg_home_geral,xg_home_casa,xg_home_fora,xga_home_geral,xga_home_casa,xga_home_fora,vitoria_away_geral,vitoria_away_casa,vitoria_away_fora,gols_away_geral,gols_away_casa,gols_away_fora,marcados_away_geral,marcados_away_casa,marcados_away_fora,sofridos_away_geral,sofridos_away_casa,sofridos_away_fora,ambas_marcam_away_geral,ambas_marcam_away_casa,ambas_marcam_away_fora,sem_sofrer_away_geral,sem_sofrer_away_casa,sem_sofrer_away_fora,sem_marcar_away_geral,sem_marcar_away_casa,sem_marcar_away_fora,primeiro_marcar_away_geral,primeiro_marcar_away_casa,primeiro_marcar_away_fora,xg_away_geral,xg_away_casa,xg_away_fora,xga_away_geral,xga_away_casa,xga_away_fora
Corinthians,Juventude,Brasil - Brasileirão Série A,"Dom, 04 Agosto 2024",16:00,54%,46%,D E V V D,E V V E E,D V D D D,D D E E V,D E E V V,D D D D D,0.95,1.56,0.45,1.17,1.9,0.25,20%,33%,9%,2.25,2.44,2.09,0.9,1.44,0.45,1.35,1,1.64,40%,56%,27%,20%,33%,9%,50%,33%,64%,20%,22%,18%,1.46,1.69,1.26,1.46,1.24,1.64,28%,50%,0%,2.44,2,3,1.11,1.4,0.75,1.33,2.25,2.25,61%,50%,75%,28%,50%,0%,17%,10%,25%,33%,60%,0%,1.3,1.34,1.24,1.51,1.42,1.62
Fluminense,Bahia,Brasil - Brasileirão Série A,"Dom, 04 Agosto 2024",16:00,54%,46%,V V V E D,V E D D D,V V E D D,E E D D V,E D D V V,E V D D D,0.89,1.11,0.7,1.6,2.2,1,21%,22%,20%,2.05,2.33,1.8,0.79,1.11,0.5,1.26,1.22,1.3,47%,67%,30%,16%,11%,20%,37%,22%,50%,53%,67%,40%,1.27,1.4,1.15,1.54,1.44,1.63,45%,70%,20%,2.65,2.2,3.1,1.45,1.5,1.4,1.2,1.7,1.7,70%,50%,90%,20%,40%,0%,10%,10%,10%,45%,60%,30%,1.42,1.55,1.29,1.38,1.07,1.7
Athletico-PR,Grêmio,Brasil - Brasileirão Série A,"Dom, 04 Agosto 2024",16:00,54%,46%,V D D V D,D D E E V,V D V V D,V E V D D,V V D E V,E D D E D,1.56,1.75,1.4,1,1.6,0.25,44%,50%,40%,2.22,2.63,1.9,1.22,1.63,0.9,1,1,1,50%,63%,40%,28%,38%,20%,22%,0%,40%,44%,50%,40%,1.52,1.75,1.34,1.3,1.07,1.49,28%,50%,0%,2.06,1.9,2.25,0.83,1,0.63,1.22,1.63,1.63,33%,20%,50%,28%,50%,0%,39%,30%,50%,39%,60%,13%,1.35,1.43,1.25,1.32,1.14,1.53
Internacional,Palmeiras,Brasil - Brasileirão Série A,"Dom, 04 Agosto 2024",17:00,54%,46%,E D D E E,D D V E E,E D E E V,D D V D V,D V V V V,D D E D V,1.33,1.33,1.33,1.8,2,1.56,33%,33%,33%,1.73,2,1.56,0.87,1,0.78,0.87,1,0.78,53%,67%,44%,33%,33%,33%,20%,17%,22%,40%,17%,56%,1.31,1.62,1.1,1.13,1.08,1.17,55%,64%,44%,2.15,2.18,2.11,1.35,1.45,1.22,0.8,0.89,0.89,25%,27%,22%,45%,45%,44%,40%,36%,44%,55%,64%,44%,1.72,1.85,1.56,1.18,1.15,1.22
Greuther Fürth,Preußen Münster,Alemanha - 2ª Divisão da Alemanha,"Dom, 04 Agosto 2024",08:30,100%,100%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Darmstadt 98,Fortuna Düsseldorf,Alemanha - 2ª Divisão da Alemanha,"Dom, 04 Agosto 2024",08:30,100%,100%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Ulm,Kaiserslautern,Alemanha - 2ª Divisão da Alemanha,"Dom, 04 Agosto 2024",08:30,100%,100%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Viktoria Köln,Dynamo Dresden,Alemanha - 3ª Divisão da Alemanha,"Dom, 04 Agosto 2024",08:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Energie Cottbus,Arminia Bielefeld,Alemanha - 3ª Divisão da Alemanha,"Dom, 04 Agosto 2024",11:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
Ingolstadt,Waldhof Mannheim,Alemanha - 3ª Divisão da Alemanha,"Dom, 04 Agosto 2024",14:30,0%,0%,,,,,,,0,0,0,0,0,0,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0,0,0,0,0,0,0,0,0,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,,
